Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,934
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,145.01
Elapsed Live Time:,140.71
Start Time:,November 21, 2024, 03:50:18
End Time:,November 21, 2024, 03:52:40
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,1
15,,3
16,,3
17,,1664
18,,3319
19,,4493
20,,5699
21,,6483
22,,6255
23,,5245
24,,4432
25,,4013
26,,3770
27,,3439
28,,2869
29,,2282
30,,2118
31,,2306
32,,2973
33,,3561
34,,3884
35,,3807
36,,3577
37,,3359
38,,3339
39,,3469
40,,3500
41,,3205
42,,2475
43,,1832
44,,1146
45,,673
46,,464
47,,348
48,,276
49,,293
50,,321
51,,330
52,,386
53,,403
54,,458
55,,476
56,,505
57,,520
58,,513
59,,577
60,,634
61,,649
62,,776
63,,769
64,,941
65,,1104
66,,1163
67,,1252
68,,1442
69,,1532
70,,1752
71,,2066
72,,2629
73,,3478
74,,4683
75,,6717
76,,9094
77,,12496
78,,16485
79,,20387
80,,23855
81,,26181
82,,27361
83,,26689
84,,23545
85,,19833
86,,15468
87,,10927
88,,7164
89,,4405
90,,2472
91,,1305
92,,673
93,,315
94,,145
95,,77
96,,46
97,,38
98,,40
99,,35
100,,39
101,,32
102,,40
103,,41
104,,33
105,,46
106,,32
107,,35
108,,35
109,,37
110,,34
111,,23
112,,49
113,,36
114,,25
115,,19
116,,29
117,,28
118,,22
119,,33
120,,23
121,,21
122,,19
123,,25
124,,30
125,,23
126,,22
127,,18
128,,29
129,,23
130,,15
131,,36
132,,35
133,,31
134,,35
135,,38
136,,40
137,,43
138,,41
139,,32
140,,31
141,,26
142,,32
143,,34
144,,34
145,,32
146,,17
147,,21
148,,20
149,,14
150,,20
151,,22
152,,20
153,,16
154,,17
155,,21
156,,20
157,,10
158,,17
159,,15
160,,20
161,,25
162,,18
163,,37
164,,23
165,,29
166,,19
167,,21
168,,28
169,,21
170,,17
171,,21
172,,19
173,,17
174,,16
175,,11
176,,12
177,,14
178,,5
179,,10
180,,4
181,,5
182,,2
183,,0
184,,5
185,,0
186,,2
187,,3
188,,1
189,,4
190,,3
191,,1
192,,0
193,,5
194,,2
195,,2
196,,4
197,,1
198,,3
199,,1
200,,2
201,,2
202,,5
203,,3
204,,1
205,,0
206,,2
207,,0
208,,1
209,,2
210,,2
211,,0
212,,1
213,,1
214,,1
215,,1
216,,2
217,,2
218,,4
219,,3
220,,4
221,,1
222,,2
223,,4
224,,1
225,,1
226,,2
227,,2
228,,2
229,,0
230,,0
231,,3
232,,1
233,,4
234,,2
235,,3
236,,3
237,,3
238,,3
239,,1
240,,0
241,,1
242,,1
243,,3
244,,3
245,,2
246,,3
247,,1
248,,3
249,,3
250,,4
251,,2
252,,3
253,,6
254,,1
255,,2
256,,2
257,,1
258,,2
259,,0
260,,3
261,,2
262,,1
263,,1
264,,1
265,,1
266,,0
267,,2
268,,5
269,,1
270,,3
271,,2
272,,4
273,,1
274,,0
275,,3
276,,1
277,,3
278,,0
279,,2
280,,2
281,,2
282,,0
283,,2
284,,4
285,,1
286,,3
287,,3
288,,1
289,,2
290,,1
291,,4
292,,2
293,,1
294,,0
295,,2
296,,0
297,,1
298,,4
299,,1
300,,3
301,,2
302,,2
303,,2
304,,1
305,,4
306,,0
307,,3
308,,0
309,,0
310,,4
311,,1
312,,3
313,,3
314,,2
315,,3
316,,1
317,,4
318,,3
319,,2
320,,4
321,,2
322,,3
323,,3
324,,2
325,,3
326,,1
327,,1
328,,3
329,,2
330,,0
331,,1
332,,1
333,,4
334,,1
335,,3
336,,1
337,,1
338,,2
339,,1
340,,0
341,,0
342,,0
343,,0
344,,3
345,,1
346,,1
347,,1
348,,1
349,,2
350,,3
351,,3
352,,2
353,,0
354,,3
355,,0
356,,2
357,,2
358,,0
359,,5
360,,0
361,,5
362,,1
363,,1
364,,1
