Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,934
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,166.74
Elapsed Live Time:,165.82
Start Time:,November 21, 2024, 03:54:53
End Time:,November 21, 2024, 03:57:40
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,36
18,,69
19,,68
20,,58
21,,66
22,,67
23,,75
24,,76
25,,76
26,,80
27,,96
28,,99
29,,97
30,,137
31,,157
32,,185
33,,298
34,,423
35,,778
36,,1217
37,,1993
38,,2881
39,,3497
40,,3890
41,,3628
42,,3046
43,,2259
44,,1549
45,,1034
46,,779
47,,607
48,,417
49,,252
50,,156
51,,104
52,,80
53,,62
54,,49
55,,32
56,,40
57,,38
58,,43
59,,54
60,,64
61,,62
62,,49
63,,65
64,,68
65,,89
66,,83
67,,108
68,,122
69,,125
70,,118
71,,106
72,,105
73,,117
74,,106
75,,97
76,,63
77,,60
78,,64
79,,47
80,,39
81,,55
82,,38
83,,62
84,,39
85,,45
86,,66
87,,56
88,,56
89,,58
90,,58
91,,51
92,,74
93,,70
94,,69
95,,81
96,,86
97,,117
98,,120
99,,145
100,,198
101,,221
102,,274
103,,327
104,,381
105,,470
106,,548
107,,679
108,,789
109,,850
110,,938
111,,1036
112,,958
113,,968
114,,933
115,,814
116,,611
117,,494
118,,384
119,,267
120,,183
121,,117
122,,85
123,,72
124,,32
125,,42
126,,23
127,,23
128,,25
129,,16
130,,21
131,,17
132,,14
133,,22
134,,19
135,,17
136,,16
137,,18
138,,18
139,,20
140,,16
141,,21
142,,28
143,,26
144,,20
145,,20
146,,26
147,,23
148,,22
149,,23
150,,32
151,,19
152,,19
153,,23
154,,23
155,,21
156,,25
157,,26
158,,24
159,,25
160,,27
161,,28
162,,25
163,,30
164,,31
165,,19
166,,38
167,,21
168,,13
169,,25
170,,19
171,,17
172,,23
173,,23
174,,23
175,,32
176,,24
177,,27
178,,18
179,,20
180,,19
181,,19
182,,26
183,,34
184,,21
185,,21
186,,21
187,,20
188,,31
189,,22
190,,26
191,,23
192,,24
193,,19
194,,24
195,,30
196,,23
197,,29
198,,39
199,,23
200,,38
201,,35
202,,24
203,,33
204,,35
205,,40
206,,31
207,,44
208,,28
209,,33
210,,45
211,,37
212,,43
213,,42
214,,44
215,,38
216,,52
217,,47
218,,49
219,,52
220,,55
221,,35
222,,41
223,,43
224,,36
225,,35
226,,31
227,,31
228,,24
229,,27
230,,39
231,,29
232,,45
233,,35
234,,39
235,,28
236,,34
237,,30
238,,28
239,,37
240,,33
241,,26
242,,35
243,,42
244,,37
245,,41
246,,34
247,,35
248,,27
249,,30
250,,31
251,,33
252,,35
253,,32
254,,37
255,,30
256,,37
257,,31
258,,42
259,,33
260,,36
261,,26
262,,31
263,,37
264,,33
265,,46
266,,25
267,,16
268,,30
269,,21
270,,27
271,,26
272,,25
273,,18
274,,25
275,,25
276,,24
277,,23
278,,36
279,,34
280,,23
281,,34
282,,24
283,,19
284,,24
285,,27
286,,34
287,,25
288,,26
289,,16
290,,22
291,,33
292,,25
293,,40
294,,34
295,,27
296,,37
297,,16
298,,23
299,,25
300,,26
301,,30
302,,26
303,,32
304,,28
305,,34
306,,32
307,,24
308,,29
309,,22
310,,35
311,,15
312,,26
313,,24
314,,25
315,,27
316,,25
317,,30
318,,17
319,,31
320,,28
321,,17
322,,33
323,,35
324,,25
325,,19
326,,17
327,,30
328,,24
329,,38
330,,32
331,,24
332,,22
333,,27
334,,22
335,,31
336,,27
337,,25
338,,21
339,,27
340,,29
341,,27
342,,38
343,,50
344,,47
345,,43
346,,28
347,,52
348,,47
349,,60
350,,57
351,,56
352,,66
353,,68
354,,69
355,,80
356,,70
357,,88
358,,93
359,,90
360,,95
361,,89
362,,89
363,,104
364,,97
365,,111
366,,104
367,,100
368,,100
369,,102
370,,106
371,,83
372,,117
373,,102
