Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,934
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,396.48
Elapsed Live Time:,396.4
Start Time:,November 21, 2024, 04:00:29
End Time:,November 21, 2024, 04:07:05
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,2
19,,5
20,,5
21,,4
22,,4
23,,5
24,,3
25,,6
26,,0
27,,4
28,,6
29,,3
30,,3
31,,5
32,,3
33,,5
34,,2
35,,3
36,,1
37,,1
38,,2
39,,2
40,,4
41,,1
42,,4
43,,2
44,,4
45,,6
46,,4
47,,3
48,,3
49,,1
50,,3
51,,3
52,,4
53,,3
54,,5
55,,3
56,,7
57,,8
58,,3
59,,1
60,,5
61,,6
62,,2
63,,10
64,,5
65,,4
66,,2
67,,2
68,,2
69,,3
70,,4
71,,4
72,,5
73,,10
74,,2
75,,5
76,,3
77,,2
78,,4
79,,4
80,,3
81,,6
82,,4
83,,5
84,,8
85,,5
86,,8
87,,5
88,,4
89,,8
90,,6
91,,10
92,,9
93,,11
94,,10
95,,15
96,,12
97,,15
98,,19
99,,16
100,,15
101,,24
102,,11
103,,30
104,,24
105,,17
106,,20
107,,17
108,,14
109,,14
110,,16
111,,5
112,,7
113,,5
114,,17
115,,13
116,,13
117,,15
118,,19
119,,9
120,,11
121,,18
122,,8
123,,8
124,,8
125,,16
126,,5
127,,4
128,,5
129,,9
130,,8
131,,2
132,,6
133,,13
134,,13
135,,10
136,,8
137,,12
138,,12
139,,14
140,,12
141,,13
142,,15
143,,6
144,,13
145,,9
146,,13
147,,17
148,,15
149,,21
150,,20
151,,19
152,,23
153,,33
154,,31
155,,35
156,,44
157,,51
158,,70
159,,70
160,,70
161,,84
162,,86
163,,90
164,,82
165,,101
166,,72
167,,86
168,,82
169,,76
170,,54
171,,46
172,,43
173,,38
174,,34
175,,23
176,,17
177,,19
178,,19
179,,12
180,,13
181,,10
182,,13
183,,21
184,,9
185,,15
186,,14
187,,13
188,,14
189,,10
190,,14
191,,8
192,,12
193,,8
194,,9
195,,4
196,,7
197,,5
198,,5
199,,6
200,,6
201,,2
202,,4
203,,5
204,,4
205,,4
206,,3
207,,4
208,,0
209,,3
210,,5
211,,2
212,,2
213,,5
214,,6
215,,5
216,,5
217,,2
218,,9
219,,5
220,,9
221,,3
222,,4
223,,5
224,,3
225,,2
226,,5
227,,5
228,,8
229,,5
230,,3
231,,8
232,,4
233,,1
234,,7
235,,9
236,,8
237,,4
238,,2
239,,6
240,,3
241,,4
242,,2
243,,4
244,,8
245,,8
246,,2
247,,5
248,,4
249,,4
250,,4
251,,2
252,,5
253,,1
254,,2
255,,7
256,,2
257,,9
258,,5
259,,4
260,,7
261,,6
262,,6
263,,3
264,,4
265,,5
266,,5
267,,2
268,,8
269,,5
270,,8
271,,4
272,,4
273,,8
274,,0
275,,6
276,,7
277,,6
278,,5
279,,2
280,,4
281,,6
282,,3
283,,3
284,,6
285,,1
286,,4
287,,8
288,,5
289,,2
290,,3
291,,2
292,,9
293,,4
294,,5
295,,5
296,,8
297,,3
298,,3
299,,3
300,,3
301,,3
302,,3
303,,1
304,,10
305,,6
306,,3
307,,4
308,,6
309,,2
310,,5
311,,3
312,,6
313,,4
314,,3
315,,5
316,,6
317,,1
318,,5
319,,6
320,,5
321,,4
322,,2
323,,6
324,,7
325,,7
326,,5
327,,0
328,,3
329,,3
330,,3
331,,3
332,,8
333,,5
334,,1
335,,2
336,,4
337,,3
338,,2
339,,3
340,,2
341,,3
342,,4
343,,2
344,,4
345,,3
346,,7
347,,2
348,,2
349,,2
350,,9
351,,2
352,,4
353,,4
354,,3
355,,2
356,,5
357,,4
358,,3
359,,3
360,,6
361,,4
362,,4
363,,4
364,,1
365,,2
366,,4
367,,3
368,,4
369,,4
370,,3
371,,3
372,,3
373,,1
374,,4
375,,4
