Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,934
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,193.54
Elapsed Live Time:,188.0
Start Time:,November 21, 2024, 04:08:49
End Time:,November 21, 2024, 04:12:03
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,1
4,,0
5,,0
6,,1
7,,1
8,,0
9,,1
10,,0
11,,1
12,,0
13,,0
14,,1
15,,1
16,,7
17,,141
18,,230
19,,265
20,,237
21,,265
22,,269
23,,276
24,,288
25,,307
26,,287
27,,333
28,,311
29,,306
30,,303
31,,341
32,,347
33,,358
34,,342
35,,356
36,,408
37,,485
38,,692
39,,888
40,,1313
41,,1870
42,,2378
43,,2867
44,,2898
45,,2818
46,,2418
47,,1915
48,,1446
49,,1150
50,,884
51,,792
52,,654
53,,525
54,,453
55,,410
56,,337
57,,307
58,,298
59,,319
60,,284
61,,300
62,,298
63,,306
64,,316
65,,292
66,,307
67,,295
68,,264
69,,273
70,,266
71,,280
72,,273
73,,264
74,,271
75,,254
76,,271
77,,266
78,,282
79,,284
80,,280
81,,271
82,,276
83,,302
84,,263
85,,257
86,,263
87,,304
88,,274
89,,298
90,,270
91,,289
92,,260
93,,292
94,,290
95,,300
96,,310
97,,337
98,,374
99,,381
100,,390
101,,431
102,,465
103,,532
104,,584
105,,616
106,,644
107,,657
108,,694
109,,685
110,,587
111,,584
112,,579
113,,507
114,,478
115,,496
116,,385
117,,416
118,,425
119,,429
120,,409
121,,428
122,,395
123,,443
124,,436
125,,423
126,,373
127,,438
128,,364
129,,372
130,,341
131,,328
132,,300
133,,278
134,,261
135,,253
136,,262
137,,258
138,,272
139,,276
140,,279
141,,281
142,,274
143,,275
144,,275
145,,250
146,,261
147,,288
148,,267
149,,282
150,,244
151,,298
152,,270
153,,271
154,,267
155,,251
156,,259
157,,292
158,,266
159,,262
160,,272
161,,273
162,,277
163,,264
164,,249
165,,243
166,,278
167,,284
168,,280
169,,267
170,,278
171,,253
172,,269
173,,274
174,,279
175,,280
176,,258
177,,266
178,,262
179,,271
180,,264
181,,269
182,,268
183,,291
184,,274
185,,294
186,,257
187,,283
188,,265
189,,301
190,,288
191,,271
192,,289
193,,278
194,,286
195,,256
196,,269
197,,289
198,,294
199,,272
200,,267
201,,257
202,,276
203,,316
204,,291
205,,273
206,,260
207,,293
208,,320
209,,306
210,,306
211,,316
212,,299
213,,286
214,,276
215,,292
216,,320
217,,322
218,,288
219,,293
220,,324
221,,292
222,,286
223,,313
224,,335
225,,275
226,,299
227,,298
228,,299
229,,320
230,,330
231,,303
232,,293
233,,314
234,,320
235,,317
236,,311
237,,310
238,,310
239,,340
240,,341
241,,349
242,,340
243,,319
244,,351
245,,338
246,,335
247,,328
248,,344
249,,356
250,,360
251,,342
252,,366
253,,349
254,,343
255,,312
256,,342
257,,364
258,,380
259,,385
260,,390
261,,375
262,,375
263,,371
264,,416
265,,367
266,,396
267,,402
268,,374
269,,420
270,,405
271,,429
272,,402
273,,401
274,,414
275,,429
276,,398
277,,391
278,,415
279,,413
280,,406
281,,390
282,,346
283,,359
284,,403
285,,409
286,,434
287,,354
288,,412
289,,404
290,,346
291,,381
292,,373
293,,388
294,,365
295,,381
296,,375
297,,366
298,,348
299,,362
300,,397
301,,354
302,,337
303,,378
304,,390
305,,360
306,,387
307,,348
308,,344
309,,351
310,,348
311,,351
312,,356
313,,371
314,,381
315,,403
316,,353
317,,393
318,,387
319,,393
320,,328
321,,389
322,,387
323,,349
324,,380
325,,387
326,,315
327,,356
328,,365
329,,342
330,,337
331,,363
332,,341
333,,383
334,,330
335,,340
336,,337
337,,342
338,,343
339,,352
340,,334
341,,372
342,,365
343,,310
344,,300
345,,330
346,,371
347,,330
348,,326
349,,350
350,,352
351,,340
352,,348
353,,333
354,,371
355,,313
356,,356
357,,343
358,,346
359,,328
360,,348
361,,376
362,,360
363,,384
364,,322
365,,354
366,,333
367,,323
368,,308
369,,358
370,,328
371,,345
372,,340
373,,334
