Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,934
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,190.82
Elapsed Live Time:,189.48
Start Time:,November 21, 2024, 04:14:06
End Time:,November 21, 2024, 04:17:17
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,632,747,51913,43966,48,682

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,2
15,,1
16,,0
17,,27
18,,55
19,,62
20,,57
21,,66
22,,54
23,,53
24,,66
25,,66
26,,62
27,,68
28,,71
29,,63
30,,67
31,,56
32,,60
33,,68
34,,69
35,,66
36,,72
37,,70
38,,67
39,,65
40,,60
41,,64
42,,76
43,,62
44,,59
45,,68
46,,46
47,,59
48,,59
49,,65
50,,66
51,,70
52,,66
53,,50
54,,65
55,,72
56,,72
57,,76
58,,71
59,,65
60,,73
61,,72
62,,76
63,,89
64,,73
65,,73
66,,60
67,,79
68,,70
69,,76
70,,70
71,,81
72,,64
73,,62
74,,76
75,,73
76,,75
77,,77
78,,84
79,,67
80,,60
81,,91
82,,53
83,,82
84,,63
85,,71
86,,75
87,,74
88,,95
89,,71
90,,63
91,,65
92,,73
93,,80
94,,88
95,,96
96,,79
97,,81
98,,102
99,,122
100,,138
101,,105
102,,152
103,,135
104,,139
105,,190
106,,189
107,,201
108,,178
109,,189
110,,159
111,,169
112,,125
113,,111
114,,138
115,,118
116,,117
117,,113
118,,120
119,,139
120,,108
121,,88
122,,109
123,,109
124,,109
125,,101
126,,94
127,,81
128,,113
129,,90
130,,79
131,,85
132,,80
133,,76
134,,78
135,,63
136,,71
137,,66
138,,63
139,,63
140,,73
141,,73
142,,70
143,,70
144,,74
145,,62
146,,63
147,,59
148,,68
149,,60
150,,82
151,,77
152,,72
153,,83
154,,74
155,,72
156,,83
157,,65
158,,71
159,,74
160,,74
161,,74
162,,90
163,,92
164,,71
165,,68
166,,78
167,,79
168,,61
169,,63
170,,66
171,,75
172,,71
173,,68
174,,72
175,,60
176,,55
177,,80
178,,92
179,,65
180,,80
181,,66
182,,79
183,,60
184,,71
185,,62
186,,78
187,,96
188,,82
189,,71
190,,72
191,,67
192,,70
193,,77
194,,78
195,,60
196,,71
197,,83
198,,63
199,,56
200,,79
201,,69
202,,70
203,,67
204,,72
205,,83
206,,71
207,,83
208,,71
209,,81
210,,73
211,,91
212,,76
213,,76
214,,80
215,,62
216,,76
217,,71
218,,64
219,,67
220,,85
221,,79
222,,70
223,,80
224,,83
225,,77
226,,73
227,,81
228,,78
229,,88
230,,78
231,,96
232,,84
233,,97
234,,89
235,,104
236,,77
237,,96
238,,93
239,,81
240,,79
241,,69
242,,103
243,,78
244,,96
245,,88
246,,96
247,,86
248,,75
249,,98
250,,94
251,,105
252,,94
253,,86
254,,84
255,,89
256,,79
257,,97
258,,104
259,,91
260,,96
261,,94
262,,90
263,,99
264,,96
265,,94
266,,108
267,,91
268,,83
269,,88
270,,100
271,,100
272,,104
273,,109
274,,89
275,,89
276,,89
277,,101
278,,83
279,,96
280,,82
281,,99
282,,103
283,,100
284,,100
285,,88
286,,90
287,,99
288,,105
289,,115
290,,88
291,,83
292,,100
293,,89
294,,90
295,,106
296,,96
297,,104
298,,85
299,,86
300,,91
301,,91
302,,92
303,,96
304,,109
305,,98
306,,90
307,,82
308,,97
309,,86
310,,106
311,,84
312,,111
313,,99
314,,80
315,,90
316,,93
317,,99
318,,84
319,,105
320,,105
321,,89
322,,105
323,,79
324,,83
325,,87
326,,99
327,,97
328,,105
329,,85
330,,77
331,,69
332,,99
333,,100
334,,89
335,,102
336,,76
337,,76
338,,96
339,,102
340,,99
341,,90
342,,80
343,,96
344,,86
345,,85
346,,119
347,,96
348,,83
349,,88
350,,88
351,,77
352,,75
353,,100
354,,103
355,,93
356,,84
357,,95
358,,94
359,,77
360,,84
361,,82
362,,90
363,,88
364,,80
365,,97
366,,93
367,,94
368,,69
369,,87
370,,84
371,,94
372,,83
