Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,934
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,604.3
Elapsed Live Time:,603.75
Start Time:,November 21, 2024, 04:30:07
End Time:,November 21, 2024, 04:40:10
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,10
18,,24
19,,19
20,,23
21,,26
22,,22
23,,20
24,,17
25,,15
26,,23
27,,31
28,,23
29,,24
30,,19
31,,26
32,,24
33,,21
34,,22
35,,14
36,,16
37,,15
38,,20
39,,19
40,,18
41,,21
42,,16
43,,17
44,,26
45,,18
46,,19
47,,26
48,,29
49,,16
50,,24
51,,24
52,,24
53,,26
54,,20
55,,27
56,,27
57,,21
58,,27
59,,27
60,,16
61,,16
62,,23
63,,28
64,,23
65,,25
66,,22
67,,23
68,,18
69,,22
70,,20
71,,26
72,,29
73,,25
74,,28
75,,19
76,,33
77,,36
78,,39
79,,34
80,,37
81,,32
82,,40
83,,39
84,,27
85,,35
86,,36
87,,26
88,,30
89,,26
90,,40
91,,27
92,,28
93,,39
94,,31
95,,36
96,,25
97,,35
98,,33
99,,34
100,,31
101,,33
102,,27
103,,35
104,,31
105,,38
106,,45
107,,30
108,,44
109,,32
110,,25
111,,38
112,,31
113,,42
114,,25
115,,28
116,,30
117,,27
118,,33
119,,28
120,,29
121,,28
122,,44
123,,36
124,,37
125,,51
126,,29
127,,41
128,,34
129,,24
130,,21
131,,34
132,,22
133,,37
134,,27
135,,24
136,,32
137,,39
138,,44
139,,34
140,,27
141,,28
142,,33
143,,45
144,,39
145,,34
146,,42
147,,38
148,,28
149,,42
150,,47
151,,43
152,,44
153,,36
154,,43
155,,40
156,,42
157,,30
158,,36
159,,34
160,,37
161,,34
162,,39
163,,39
164,,37
165,,51
166,,44
167,,44
168,,40
169,,36
170,,45
171,,49
172,,34
173,,37
174,,44
175,,41
176,,41
177,,30
178,,38
179,,43
180,,43
181,,31
182,,42
183,,41
184,,42
185,,39
186,,38
187,,36
188,,35
189,,43
190,,36
191,,45
192,,44
193,,46
194,,32
195,,42
196,,31
197,,40
198,,41
199,,34
200,,30
201,,37
202,,30
203,,41
204,,43
205,,30
206,,36
207,,29
208,,39
209,,44
210,,32
211,,38
212,,36
213,,38
214,,40
215,,36
216,,30
217,,39
218,,52
219,,37
220,,40
221,,31
222,,39
223,,37
224,,49
225,,36
226,,27
227,,42
228,,41
229,,46
230,,47
231,,41
232,,43
233,,40
234,,33
235,,46
236,,43
237,,39
238,,55
239,,39
240,,39
241,,42
242,,50
243,,46
244,,33
245,,42
246,,34
247,,41
248,,38
249,,33
250,,46
251,,46
252,,37
253,,50
254,,33
255,,40
256,,44
257,,58
258,,39
259,,37
260,,53
261,,36
262,,48
263,,49
264,,46
265,,34
266,,40
267,,40
268,,43
269,,40
270,,35
271,,62
272,,33
273,,32
274,,44
275,,43
276,,47
277,,39
278,,32
279,,45
280,,27
281,,48
282,,43
283,,37
284,,29
285,,29
286,,48
287,,30
288,,46
289,,43
290,,45
291,,34
292,,51
293,,59
294,,35
295,,36
296,,54
297,,41
298,,43
299,,38
300,,36
301,,52
302,,44
303,,49
304,,44
305,,47
306,,37
307,,45
308,,46
309,,35
310,,48
311,,40
312,,37
313,,46
314,,37
315,,42
316,,22
317,,43
318,,31
319,,47
320,,35
321,,41
322,,40
323,,35
324,,37
325,,29
326,,33
327,,45
328,,33
329,,33
330,,27
331,,44
332,,33
333,,36
334,,43
335,,45
336,,44
337,,38
338,,42
339,,30
340,,41
341,,38
342,,45
343,,37
344,,42
345,,42
346,,35
347,,41
348,,34
349,,31
350,,40
351,,37
352,,27
353,,40
354,,41
355,,38
356,,40
357,,47
358,,28
359,,33
360,,42
361,,32
362,,44
363,,44
364,,38
365,,33
366,,31
367,,36
368,,51
369,,31
370,,42
371,,39
372,,30
373,,38
374,,33
375,,29
