Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,47.3
Elapsed Live Time:,47.28
Start Time:,November 07, 2024, 04:12:38
End Time:,November 07, 2024, 04:13:25
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,145,181,173,24,4,162
2,391,446,9,9,0,416
3,283,362,1165,885,28,318

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,2
18,,3
19,,1
20,,4
21,,6
22,,2
23,,2
24,,4
25,,4
26,,6
27,,5
28,,2
29,,4
30,,6
31,,6
32,,6
33,,6
34,,2
35,,2
36,,1
37,,4
38,,2
39,,0
40,,3
41,,2
42,,5
43,,5
44,,2
45,,5
46,,1
47,,1
48,,4
49,,5
50,,2
51,,5
52,,7
53,,5
54,,8
55,,6
56,,3
57,,7
58,,2
59,,5
60,,8
61,,7
62,,5
63,,10
64,,5
65,,0
66,,9
67,,2
68,,3
69,,4
70,,2
71,,5
72,,8
73,,5
74,,6
75,,6
76,,7
77,,9
78,,9
79,,3
80,,6
81,,6
82,,6
83,,3
84,,2
85,,5
86,,6
87,,1
88,,3
89,,5
90,,6
91,,10
92,,3
93,,4
94,,6
95,,8
96,,5
97,,4
98,,6
99,,9
100,,9
101,,2
102,,4
103,,7
104,,3
105,,6
106,,9
107,,5
108,,8
109,,7
110,,8
111,,8
112,,7
113,,6
114,,3
115,,8
116,,4
117,,2
118,,4
119,,4
120,,6
121,,5
122,,2
123,,4
124,,3
125,,3
126,,8
127,,4
128,,7
129,,5
130,,5
131,,5
132,,5
133,,3
134,,6
135,,2
136,,6
137,,9
138,,6
139,,4
140,,4
141,,3
142,,6
143,,9
144,,5
145,,2
146,,5
147,,6
148,,4
149,,5
150,,4
151,,2
152,,5
153,,9
154,,5
155,,3
156,,2
157,,10
158,,3
159,,7
160,,3
161,,5
162,,4
163,,11
164,,1
165,,8
166,,4
167,,3
168,,4
169,,6
170,,3
171,,3
172,,7
173,,4
174,,2
175,,4
176,,3
177,,4
178,,6
179,,4
180,,3
181,,9
182,,4
183,,4
184,,7
185,,4
186,,4
187,,5
188,,5
189,,3
190,,2
191,,2
192,,4
193,,7
194,,3
195,,4
196,,4
197,,7
198,,5
199,,2
200,,3
201,,3
202,,3
203,,1
204,,1
205,,6
206,,5
207,,1
208,,9
209,,7
210,,3
211,,3
212,,6
213,,6
214,,4
215,,5
216,,1
217,,4
218,,1
219,,2
220,,6
221,,3
222,,5
223,,3
224,,1
225,,10
226,,3
227,,4
228,,4
229,,4
230,,1
231,,2
232,,2
233,,3
234,,1
235,,3
236,,6
237,,3
238,,2
239,,2
240,,4
241,,0
242,,4
243,,5
244,,2
245,,1
246,,3
247,,4
248,,2
249,,2
250,,1
251,,2
252,,1
253,,5
254,,3
255,,2
256,,4
257,,1
258,,3
259,,5
260,,3
261,,2
262,,4
263,,3
264,,1
265,,3
266,,4
267,,1
268,,2
269,,4
270,,4
271,,6
272,,4
273,,3
274,,2
275,,4
276,,2
277,,4
278,,2
279,,3
280,,2
281,,2
282,,9
283,,4
284,,4
285,,2
286,,3
287,,6
288,,6
289,,8
290,,9
291,,6
292,,9
293,,10
294,,7
295,,16
296,,7
297,,13
298,,13
299,,18
300,,19
301,,19
302,,25
303,,13
304,,23
305,,23
306,,22
307,,20
308,,23
309,,35
310,,35
311,,26
312,,27
313,,25
314,,33
315,,35
316,,32
317,,33
318,,27
319,,29
320,,26
321,,21
322,,25
323,,20
324,,22
325,,21
326,,19
327,,23
328,,20
329,,24
330,,27
331,,13
332,,9
333,,9
334,,12
335,,18
336,,6
337,,9
338,,7
339,,10
340,,15
341,,12
342,,13
343,,6
344,,10
345,,5
346,,7
347,,7
348,,6
349,,5
350,,9
351,,4
352,,9
353,,3
354,,7
355,,8
356,,4
357,,9
358,,3
359,,4
360,,4
361,,3
362,,6
363,,2
364,,4
365,,2
366,,2
367,,1
