Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,65.33
Elapsed Live Time:,65.31
Start Time:,November 07, 2024, 04:14:20
End Time:,November 07, 2024, 04:15:25
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,200,248,670,523,18,223

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,2
18,,1
19,,2
20,,1
21,,1
22,,1
23,,5
24,,1
25,,1
26,,1
27,,2
28,,5
29,,1
30,,1
31,,2
32,,2
33,,3
34,,2
35,,4
36,,1
37,,3
38,,6
39,,4
40,,2
41,,5
42,,3
43,,3
44,,3
45,,4
46,,3
47,,4
48,,5
49,,6
50,,5
51,,1
52,,4
53,,8
54,,4
55,,4
56,,2
57,,3
58,,4
59,,5
60,,7
61,,5
62,,1
63,,3
64,,5
65,,3
66,,5
67,,8
68,,4
69,,8
70,,2
71,,7
72,,3
73,,5
74,,4
75,,8
76,,3
77,,3
78,,7
79,,2
80,,12
81,,3
82,,6
83,,3
84,,4
85,,7
86,,1
87,,7
88,,2
89,,4
90,,4
91,,3
92,,6
93,,8
94,,4
95,,5
96,,3
97,,5
98,,3
99,,1
100,,2
101,,3
102,,5
103,,3
104,,5
105,,2
106,,7
107,,1
108,,2
109,,5
110,,5
111,,5
112,,2
113,,7
114,,4
115,,6
116,,3
117,,5
118,,0
119,,6
120,,6
121,,3
122,,7
123,,3
124,,2
125,,5
126,,5
127,,2
128,,2
129,,6
130,,5
131,,6
132,,5
133,,5
134,,6
135,,2
136,,0
137,,6
138,,5
139,,6
140,,0
141,,4
142,,2
143,,4
144,,2
145,,4
146,,1
147,,8
148,,3
149,,3
150,,1
151,,2
152,,1
153,,9
154,,3
155,,2
156,,4
157,,6
158,,2
159,,5
160,,2
161,,5
162,,3
163,,5
164,,1
165,,0
166,,5
167,,5
168,,3
169,,6
170,,6
171,,3
172,,4
173,,3
174,,2
175,,2
176,,0
177,,3
178,,3
179,,4
180,,1
181,,0
182,,6
183,,2
184,,4
185,,3
186,,3
187,,2
188,,1
189,,5
190,,2
191,,5
192,,2
193,,7
194,,2
195,,6
196,,3
197,,1
198,,2
199,,2
200,,7
201,,2
202,,7
203,,4
204,,6
205,,3
206,,4
207,,13
208,,10
209,,13
210,,12
211,,7
212,,14
213,,16
214,,15
215,,21
216,,23
217,,14
218,,23
219,,20
220,,23
221,,36
222,,26
223,,27
224,,31
225,,21
226,,26
227,,19
228,,19
229,,16
230,,19
231,,24
232,,17
233,,17
234,,17
235,,6
236,,12
237,,11
238,,12
239,,14
240,,9
241,,7
242,,3
243,,3
244,,5
245,,3
246,,5
247,,5
248,,3
249,,3
250,,1
251,,2
252,,1
253,,2
254,,3
255,,1
256,,1
257,,2
258,,2
259,,6
260,,1
261,,2
262,,4
263,,2
264,,2
265,,2
266,,3
267,,0
268,,2
269,,3
270,,1
271,,0
272,,0
273,,1
274,,2
275,,1
276,,0
277,,3
278,,1
279,,0
280,,1
281,,1
282,,0
283,,1
284,,0
285,,2
286,,0
287,,0
288,,0
289,,2
290,,2
291,,2
292,,2
293,,0
294,,1
295,,2
296,,0
297,,4
298,,1
299,,3
300,,2
301,,0
302,,0
303,,1
304,,0
305,,0
306,,0
307,,2
308,,0
309,,2
310,,1
311,,0
312,,0
313,,3
314,,2
315,,2
316,,0
317,,3
318,,1
319,,2
320,,2
321,,0
322,,0
323,,0
324,,1
325,,2
326,,2
327,,1
328,,0
329,,0
330,,1
331,,1
332,,1
333,,1
334,,0
335,,1
336,,0
337,,0
338,,0
339,,1
340,,1
341,,1
342,,1
343,,0
344,,1
345,,0
346,,0
347,,0
348,,1
349,,0
350,,1
351,,0
352,,0
353,,0
354,,0
355,,0
356,,0
357,,1
358,,0
359,,0
360,,1
361,,0
362,,0
363,,0
364,,0
365,,0
366,,0
367,,0
368,,0
369,,1
370,,0
371,,1
372,,1
