frames_1,diameter_1,diameter_err_1,frames_2,diameter_2,diameter_err_2,frames_3,diameter_3,diameter_err_3,frames_4,diameter_4,diameter_err_4
4272,63,6,8404,60,6,12543,60,6,16683,58.0,6
4273,67,6,8405,68,6,12544,67,6,16684,64.5,6
4274,73,6,8406,72,6,12545,74,6,16685,71.0,6
4275,78,6,8407,76,6,12546,76,6,16686,76.5,6
4276,79,6,8408,80,6,12547,79,6,16687,80.0,6
4277,81,6,8409,79,6,12548,83,6,16688,84.5,6
4278,104,6,8410,103,6,12549,102,6,16689,100.5,6
4279,101,6,8411,104,6,12550,102,6,16690,104.0,6
4280,90,6,8412,97,6,12551,90,6,16691,99.5,6
4281,83,6,8413,85,6,12552,86,6,16692,87.5,6
4282,78,6,8414,77,6,12553,78,6,16693,79.0,6
4283,78,6,8415,77,6,12554,77,6,16694,78.5,6
