x,theta,time,ch1,ch2,coincidences
1000,0,20,28584,12455,72
2000,0,20,28851,12589,51
3000,0,20,30059,12748,58
4000,0,20,30492,12846,63
5000,0,20,30750,13105,86
6000,0,20,30736,13231,70
7000,0,20,30931,13393,81
8000,0,20,31212,13769,72
9000,0,20,31770,13769,77
10000,0,20,32610,14058,85
11000,0,20,31945,14211,74
12000,0,20,32254,14008,77
13000,0,20,32822,14349,93
14000,0,20,33272,14503,99
15000,0,20,33656,14848,74
16000,0,20,33641,14949,96
17000,0,20,34138,15050,75
18000,0,20,34473,15050,113
19000,0,20,34953,15303,112
20000,0,20,34736,15529,96
21000,0,20,35042,16044,96
22000,0,20,34985,16127,113
23000,0,20,35698,16179,84
24000,0,20,35630,16007,122
25000,0,20,35916,16218,98
26000,0,20,36312,16437,96
27000,0,20,36165,16767,101
28000,0,20,36399,16804,112
29000,0,20,36509,16939,105
30000,0,20,36581,17118,135
31000,0,20,36874,17145,132
32000,0,20,36789,17287,129
33000,0,20,37025,17367,161
34000,0,20,37164,17577,165
35000,0,20,36585,17571,212
36000,0,20,37001,17385,280
37000,0,20,36987,17405,354
38000,0,20,37324,17645,379
39000,0,20,37269,17367,356
40000,0,20,36692,17505,310
41000,0,20,36782,17686,298
42000,0,20,36978,17683,220
43000,0,20,36559,17884,158
44000,0,20,36765,17596,143
45000,0,20,36820,17544,137
46000,0,20,36345,17517,205
47000,0,20,36390,17445,253
48000,0,20,36153,17307,342
49000,0,20,36294,17463,412
50000,0,20,36218,17394,486
51000,0,20,35958,17250,541
52000,0,20,35993,17262,492
53000,0,20,35924,17212,442
54000,0,20,35508,17157,345
55000,0,20,35478,16862,264
56000,0,20,35104,17057,168
57000,0,20,34876,16774,120
58000,0,20,34611,16742,109
59000,0,20,35087,16584,99
60000,0,20,34775,16878,113
61000,0,20,33984,16808,102
62000,0,20,33725,16803,116
63000,0,20,33695,16707,87
64000,0,20,33604,16445,98
65000,0,20,32897,16582,99
66000,0,20,33215,16380,90
67000,0,20,32909,16443,94
68000,0,20,32596,16194,93
69000,0,20,32890,16018,106
70000,0,20,32231,15896,85
71000,0,20,31856,15956,101
72000,0,20,32140,15474,70
73000,0,20,31602,15293,76
74000,0,20,31391,15339,82
75000,0,20,31397,15073,86
76000,0,20,30811,14913,85
77000,0,20,30917,14494,73
78000,0,20,30641,14437,65
79000,0,20,30283,14188,58
80000,0,20,30083,13919,56
81000,0,20,29678,13933,73
82000,0,20,29772,13499,77
83000,0,20,29068,13349,66
84000,0,20,28773,13303,61
85000,0,20,28890,13169,65
86000,0,20,28223,12760,47
87000,0,20,28118,12713,67
88000,0,20,28086,12516,55
89000,0,20,27205,12394,61
90000,0,20,27117,12268,69

1000,320,20,27564,12704,65
2000,320,20,27816,12873,60
3000,320,20,28297,13153,69
4000,320,20,28610,13362,62
5000,320,20,28782,13273,72
6000,320,20,29202,13536,64
7000,320,20,29531,13566,61
8000,320,20,29658,13993,55
9000,320,20,29949,13778,57
10000,320,20,30068,14244,59
11000,320,20,30536,14413,91
12000,320,20,30902,14603,77
13000,320,20,30843,14816,91
14000,320,20,31068,14733,63
15000,320,20,31622,14879,82
16000,320,20,31711,15228,86
17000,320,20,31922,15376,94
18000,320,20,32214,15625,90
19000,320,20,32418,15735,75
20000,320,20,32822,16125,94
21000,320,20,33227,15943,80
22000,320,20,33167,16377,95
23000,320,20,33540,16311,101
24000,320,20,33634,16387,79
25000,320,20,34139,16749,119
26000,320,20,33747,16880,88
27000,320,20,34022,16868,107
28000,320,20,34005,16813,90
29000,320,20,34688,16790,101
30000,320,20,34821,17412,102
31000,320,20,34822,17003,107
32000,320,20,34587,17335,115
33000,320,20,34978,17397,134
34000,320,20,34688,17360,150
35000,320,20,34883,17419,200
36000,320,20,35031,17510,267
37000,320,20,35523,17797,340
38000,320,20,35166,17568,363
39000,320,20,35101,17651,374
40000,320,20,35263,17763,360
41000,320,20,35033,17774,319
42000,320,20,35197,17688,253
43000,320,20,34804,17465,206
44000,320,20,34742,17528,179
45000,320,20,34920,17720,176
46000,320,20,34596,17677,222
47000,320,20,34389,17547,298
48000,320,20,34340,17280,431
49000,320,20,34180,17648,467
50000,320,20,34419,17311,505
51000,320,20,34269,17398,519
52000,320,20,33800,17582,449
53000,320,20,33949,17509,355
54000,320,20,33352,17578,295
55000,320,20,33393,17343,196
56000,320,20,33166,17278,151
57000,320,20,32975,17604,118
58000,320,20,32581,17238,86
59000,320,20,33118,17241,107
60000,320,20,32598,17383,114
61000,320,20,32426,16797,88
62000,320,20,32044,17402,98
63000,320,20,31791,16932,98
64000,320,20,32156,16905,91
65000,320,20,31458,16849,99
66000,320,20,31170,16610,105
67000,320,20,30922,16439,80
68000,320,20,30657,16388,88
69000,320,20,30566,15973,80
70000,320,20,30305,15941,83
71000,320,20,29917,15958,67
72000,320,20,29941,15398,75
73000,320,20,29449,15613,81
74000,320,20,29337,15098,80
75000,320,20,28953,15073,61
76000,320,20,28676,14990,61
77000,320,20,29007,14522,72
78000,320,20,28308,14442,74
79000,320,20,28352,14211,67
80000,320,20,27985,13926,53
81000,320,20,27512,13842,71
82000,320,20,27408,13818,54
83000,320,20,27164,13278,61
84000,320,20,26909,13361,71
85000,320,20,26723,13190,58
86000,320,20,26275,13191,46
87000,320,20,25801,12999,77
88000,320,20,26146,12661,81
89000,320,20,25266,12490,38
90000,320,20,25120,12399,45

1000,640,20,28216,12784,83
2000,640,20,28497,13000,45
3000,640,20,28538,13150,60
4000,640,20,29227,13266,60
5000,640,20,29302,13153,67
6000,640,20,29646,13573,80
7000,640,20,29843,13659,68
8000,640,20,30157,13805,71
9000,640,20,30735,14220,78
10000,640,20,31306,14292,75
11000,640,20,30759,14461,71
12000,640,20,31292,14503,68
13000,640,20,31511,14837,89
14000,640,20,31712,14835,91
15000,640,20,31780,15201,74
16000,640,20,32657,15261,83
17000,640,20,32343,15207,91
18000,640,20,32744,15491,80
19000,640,20,32810,15712,103
20000,640,20,33175,16009,81
21000,640,20,33310,16080,92
22000,640,20,33752,16261,72
23000,640,20,33841,16201,92
24000,640,20,34236,16423,97
25000,640,20,34353,16679,107
26000,640,20,34588,16653,80
27000,640,20,34480,16603,94
28000,640,20,34525,16948,83
29000,640,20,35078,16717,93
30000,640,20,34896,16877,97
31000,640,20,34943,17176,102
32000,640,20,35265,17269,113
33000,640,20,35684,17173,112
34000,640,20,35656,17407,119
35000,640,20,35143,17160,169
36000,640,20,36141,17065,217
37000,640,20,35714,17081,261
38000,640,20,36291,17207,327
39000,640,20,36124,17301,356
40000,640,20,36029,17209,365
41000,640,20,35706,17103,317
42000,640,20,35961,17101,292
43000,640,20,35659,17227,276
44000,640,20,35852,17360,263
45000,640,20,35607,17161,260
46000,640,20,35517,17642,339
47000,640,20,35158,17549,414
48000,640,20,35474,17543,499
49000,640,20,35376,17507,480
50000,640,20,35060,17555,477
51000,640,20,34719,17618,481
52000,640,20,34741,17609,386
53000,640,20,34708,17485,319
54000,640,20,34139,17645,248
55000,640,20,34063,17561,186
56000,640,20,34163,17385,137
57000,640,20,33882,17352,112
58000,640,20,33821,17325,104
59000,640,20,33431,17252,96
60000,640,20,33214,17226,92
61000,640,20,33117,16875,88
62000,640,20,32881,17003,110
63000,640,20,32536,16756,103
64000,640,20,32547,16601,95
65000,640,20,31584,16705,88
66000,640,20,31652,16362,89
67000,640,20,31365,16213,77
68000,640,20,31019,16122,70
69000,640,20,30900,15623,71
70000,640,20,30629,15649,80
71000,640,20,30347,15800,77
72000,640,20,30371,15193,83
73000,640,20,29556,14952,58
74000,640,20,29735,14936,79
75000,640,20,29741,14778,60
76000,640,20,28674,14941,60
77000,640,20,29099,14262,79
78000,640,20,28725,14263,66
79000,640,20,28102,14262,70
80000,640,20,28435,13759,65
81000,640,20,27720,13981,73
82000,640,20,27461,13624,60
83000,640,20,27251,13186,62
84000,640,20,26854,13296,62
85000,640,20,26991,13000,59
86000,640,20,26632,12960,67
87000,640,20,26124,12963,61
88000,640,20,25975,12484,64
89000,640,20,25581,12188,46
90000,640,20,25272,12132,64

1000,960,20,28003,12769,57
2000,960,20,28481,12919,60
