x,theta,time,ch1,ch2,coincidences
1000,0,10,5625,1972,3
2000,0,10,5739,1936,6
3000,0,10,6080,2038,4
4000,0,10,5920,1977,3
5000,0,10,6075,1965,8
6000,0,10,6282,2140,10
7000,0,10,6169,2047,7
8000,0,10,6137,2114,3
9000,0,10,6284,2040,7
10000,0,10,6369,2151,9
11000,0,10,6491,2106,7
12000,0,10,6515,2146,6
13000,0,10,6704,2198,12
14000,0,10,6535,2246,8
15000,0,10,6714,2248,8
16000,0,10,6900,2354,15
17000,0,10,6957,2304,10
18000,0,10,6921,2252,21
19000,0,10,7030,2388,14
20000,0,10,6817,2371,10
21000,0,10,6865,2358,15
22000,0,10,7081,2405,17
23000,0,10,7094,2416,5
24000,0,10,7138,2371,10
25000,0,10,7141,2411,19
26000,0,10,7856,2547,115
27000,0,10,7720,2500,32
28000,0,10,7810,2569,73
29000,0,10,7726,2546,26
30000,0,10,7833,2548,24
31000,0,10,7991,2496,19
32000,0,10,7859,2608,23
33000,0,10,7847,2590,21
34000,0,10,8016,2602,19
35000,0,10,8144,2579,19
36000,0,10,7947,2566,14
37000,0,10,8119,2597,17
38000,0,10,8005,2522,13
39000,0,10,8069,2508,10
40000,0,10,8052,2527,21
41000,0,10,8088,2549,6
42000,0,10,8221,2574,16
43000,0,10,8217,2544,19
44000,0,10,8297,2598,16
45000,0,10,8290,2531,25
46000,0,10,8294,2581,54
47000,0,10,8226,2547,71
48000,0,10,8273,2566,98
49000,0,10,8441,2519,119
50000,0,10,8510,2590,133
51000,0,10,8352,2484,117
52000,0,10,8321,2571,123
53000,0,10,8384,2492,78
54000,0,10,8235,2406,69
55000,0,10,8089,2480,37
56000,0,10,8108,2505,22
57000,0,10,8208,2442,17
58000,0,10,8129,2488,13
59000,0,10,8265,2481,17
60000,0,10,8151,2575,22
61000,0,10,8282,2425,10
62000,0,10,8095,2458,16
63000,0,10,8000,2359,14
64000,0,10,7963,2460,15
65000,0,10,7955,2461,10
66000,0,10,7914,2344,14
67000,0,10,7871,2357,7
68000,0,10,7562,2366,13
69000,0,10,7934,2316,7
70000,0,10,7650,2360,7
71000,0,10,7697,2290,8
72000,0,10,7550,2311,10
73000,0,10,7458,2329,6
74000,0,10,7629,2265,10
75000,0,10,7546,2184,10
76000,0,10,7369,2174,6
77000,0,10,7602,2214,9
78000,0,10,7089,2202,13
79000,0,10,6825,2146,4
80000,0,10,6863,2163,8
81000,0,10,6729,2157,4
82000,0,10,6658,2035,9
83000,0,10,6871,2071,1
84000,0,10,6424,2136,5
85000,0,10,6607,2105,11
86000,0,10,6400,2036,7
87000,0,10,6411,1985,7
88000,0,10,6464,1923,10
89000,0,10,6227,1966,1
90000,0,10,6128,1865,9
