x,theta,time,ch1,ch2,coincidences
1000,0,10,3877,3147,6
2000,0,10,3902,3112,11
3000,0,10,4081,3105,7
4000,0,10,4382,3290,5
5000,0,10,4075,3318,7
6000,0,10,4256,3391,4
7000,0,10,4267,3565,5
8000,0,10,4354,3618,8
9000,0,10,4492,3573,13
10000,0,10,4273,3650,9
11000,0,10,4317,3859,5
12000,0,10,4412,4017,8
13000,0,10,4349,3904,10
14000,0,10,4303,3976,13
15000,0,10,4375,3984,8
16000,0,10,4355,4138,8
17000,0,10,4459,4082,10
18000,0,10,4386,4298,13
19000,0,10,4400,4371,9
20000,0,10,4505,4466,6
21000,0,10,4513,4430,3
22000,0,10,4583,4631,8
23000,0,10,4534,4759,10
24000,0,10,4284,4769,9
25000,0,10,4474,4856,13
26000,0,10,4311,5001,5
27000,0,10,4192,5197,15
28000,0,10,4437,5254,12
29000,0,10,4521,5260,10
30000,0,10,4520,5483,8
31000,0,10,4399,5647,12
32000,0,10,4460,5698,11
33000,0,10,4674,5763,17
34000,0,10,4461,5953,13
35000,0,10,4617,6043,14
36000,0,10,4735,6047,9
37000,0,10,4479,6251,16
38000,0,10,4612,6370,16
39000,0,10,4701,6555,17
40000,0,10,4774,6534,17
41000,0,10,4729,6508,22
42000,0,10,4824,6691,17
43000,0,10,4598,6772,13
44000,0,10,4624,6976,11
45000,0,10,4573,6858,22
46000,0,10,4700,6962,21
47000,0,10,4733,6991,13
48000,0,10,4660,7228,27
49000,0,10,4641,7144,34
50000,0,10,4740,7201,71
51000,0,10,4591,7188,108
52000,0,10,4623,7194,198
53000,0,10,4742,7284,224
54000,0,10,4586,7136,198
55000,0,10,4778,7387,243
56000,0,10,4629,7228,199
57000,0,10,4833,7102,140
58000,0,10,4641,7098,96
59000,0,10,4559,7131,37
60000,0,10,4816,7155,22
61000,0,10,4457,6687,18
62000,0,10,4446,6222,17
63000,0,10,4535,6916,11
64000,0,10,4547,6838,15
65000,0,10,4347,6718,12
66000,0,10,4526,6638,18
67000,0,10,4514,6666,24
68000,0,10,4526,6461,19
69000,0,10,4303,6449,17
70000,0,10,4438,6438,19
71000,0,10,4718,6446,8
72000,0,10,4606,6142,12
73000,0,10,4498,6079,12
74000,0,10,4570,6084,21
75000,0,10,4644,5911,16
76000,0,10,4525,5823,7
77000,0,10,4369,5797,17
78000,0,10,4261,5656,10
79000,0,10,4366,5579,11
80000,0,10,4150,5536,10
81000,0,10,4592,5291,7
82000,0,10,4226,5152,12
83000,0,10,4555,5174,12
84000,0,10,4343,4808,7
85000,0,10,4365,4715,16
86000,0,10,4248,4832,16
87000,0,10,4123,4648,8
88000,0,10,3947,4592,6
89000,0,10,4217,4424,6
90000,0,10,4027,4324,9
