x,theta,time,ch1,ch2,coincidences
1000,0,20,24218,11178,42
2000,0,20,24261,11545,47
3000,0,20,25584,11749,57
4000,0,20,25966,11668,45
5000,0,20,25800,11841,48
6000,0,20,26275,12061,62
7000,0,20,26696,12161,54
8000,0,20,26935,12470,59
9000,0,20,26749,12629,53
10000,0,20,27091,12903,62
11000,0,20,27122,12799,70
12000,0,20,28024,13131,67
13000,0,20,27622,13292,63
14000,0,20,28160,13370,62
15000,0,20,28214,13530,71
16000,0,20,28513,13876,60
17000,0,20,28917,13667,64
18000,0,20,29087,14027,76
19000,0,20,29316,14196,71
20000,0,20,29856,14312,72
21000,0,20,29760,14439,75
22000,0,20,29830,14611,76
23000,0,20,30242,14702,81
24000,0,20,29974,14867,88
25000,0,20,30648,15297,91
26000,0,20,30848,15299,86
27000,0,20,30936,15158,103
28000,0,20,30781,15503,101
29000,0,20,30970,15557,68
30000,0,20,31150,15748,82
31000,0,20,31266,15663,113
32000,0,20,31322,15653,85
33000,0,20,31333,15710,133
34000,0,20,31045,15748,146
35000,0,20,31527,15987,176
36000,0,20,31509,16046,196
37000,0,20,31615,15599,239
38000,0,20,31314,16049,245
39000,0,20,31541,16127,248
40000,0,20,31387,16193,199
41000,0,20,31509,16211,179
42000,0,20,31446,16105,151
43000,0,20,31202,15987,142
44000,0,20,31628,16123,109
45000,0,20,31154,15943,149
46000,0,20,30839,15992,211
47000,0,20,31229,16023,317
48000,0,20,31216,16021,413
49000,0,20,31117,15684,499
50000,0,20,31454,15728,564
51000,0,20,30954,15617,523
52000,0,20,31141,15431,424
53000,0,20,31018,15399,347
54000,0,20,30730,15484,239
55000,0,20,30891,15592,172
56000,0,20,30481,15396,116
57000,0,20,30353,15447,103
58000,0,20,30304,15122,94
59000,0,20,30128,15291,82
60000,0,20,29985,15346,84
61000,0,20,29613,15215,78
62000,0,20,29323,15432,74
63000,0,20,29645,15122,91
64000,0,20,29302,14981,80
65000,0,20,28803,14982,75
66000,0,20,28837,14632,77
67000,0,20,28802,14701,92
68000,0,20,28595,14577,84
69000,0,20,28908,14536,77
70000,0,20,28627,14282,68
71000,0,20,28093,14215,73
72000,0,20,28070,14134,75
73000,0,20,27751,13873,67
74000,0,20,28038,13936,90
75000,0,20,27770,13386,81
76000,0,20,27317,13479,62
77000,0,20,27499,13350,89
78000,0,20,27207,13074,67
79000,0,20,26466,12912,69
80000,0,20,26769,12548,65
81000,0,20,26321,12354,49
82000,0,20,25819,12414,52
83000,0,20,25982,12178,53
84000,0,20,25344,11884,58
85000,0,20,25557,11857,57
86000,0,20,24954,11574,54
87000,0,20,24710,11342,54
88000,0,20,24773,11076,40
89000,0,20,24106,11046,52
90000,0,20,23930,10679,39

1000,1600,20,24253,11341,35
2000,1600,20,24417,11507,49
3000,1600,20,24647,11525,55
4000,1600,20,24826,11802,40
5000,1600,20,25034,11962,54
6000,1600,20,25452,11983,43
7000,1600,20,25784,12103,57
8000,1600,20,25711,12400,46
9000,1600,20,26224,12647,56
10000,1600,20,26338,12626,60
11000,1600,20,26794,12623,58
12000,1600,20,26732,12776,58
13000,1600,20,26888,12991,59
14000,1600,20,27646,13255,62
15000,1600,20,27617,13439,68
16000,1600,20,28075,13192,53
17000,1600,20,28148,13447,71
18000,1600,20,28158,13403,80
19000,1600,20,28516,13275,77
20000,1600,20,29242,13821,72
21000,1600,20,29095,13716,74
22000,1600,20,29669,13857,58
23000,1600,20,29916,13981,72
24000,1600,20,30110,14109,81
25000,1600,20,30058,14153,77
26000,1600,20,30403,14542,81
27000,1600,20,30714,14431,85
28000,1600,20,31380,14609,88
29000,1600,20,30880,14770,78
30000,1600,20,30865,14974,75
31000,1600,20,31101,15069,77
32000,1600,20,31165,15170,64
33000,1600,20,31367,15285,103
34000,1600,20,31706,15349,84
35000,1600,20,31501,15695,103
36000,1600,20,31555,15633,120
37000,1600,20,31669,15725,159
38000,1600,20,32002,15831,190
39000,1600,20,31735,15613,265
40000,1600,20,31904,15607,326
41000,1600,20,32427,15673,415
42000,1600,20,31961,15928,471
43000,1600,20,32100,15966,500
44000,1600,20,32118,15912,459
45000,1600,20,32611,15903,456
46000,1600,20,32001,15699,359
47000,1600,20,32271,15826,378
48000,1600,20,32359,15786,362
49000,1600,20,32029,15570,335
50000,1600,20,32379,15659,357
51000,1600,20,32125,15534,325
52000,1600,20,32152,15499,280
53000,1600,20,32375,15338,258
54000,1600,20,31438,15219,179
55000,1600,20,32034,15314,126
56000,1600,20,31232,14904,102
57000,1600,20,31144,15115,86
58000,1600,20,31014,14803,83
59000,1600,20,30512,14956,79
60000,1600,20,30632,14854,84
61000,1600,20,30308,14527,73
62000,1600,20,29942,14478,65
63000,1600,20,30110,14310,82
64000,1600,20,29664,14158,69
65000,1600,20,29200,14056,62
66000,1600,20,29113,14123,70
67000,1600,20,28793,13978,57
68000,1600,20,28680,13874,53
69000,1600,20,28375,13478,65
70000,1600,20,28094,13179,61
71000,1600,20,27888,13229,56
72000,1600,20,27519,12563,58
73000,1600,20,27198,12820,67
74000,1600,20,27251,12671,65
75000,1600,20,27018,12360,46
76000,1600,20,26521,12167,69
77000,1600,20,26343,12028,47
78000,1600,20,26000,11742,40
79000,1600,20,25630,11643,57
80000,1600,20,25327,11309,54
81000,1600,20,25160,11331,48
82000,1600,20,24908,11213,52
83000,1600,20,24930,10882,53
84000,1600,20,24356,10781,41
85000,1600,20,24068,10603,47
86000,1600,20,23944,10438,50
87000,1600,20,23549,10370,50
88000,1600,20,23267,10066,41
89000,1600,20,22805,10010,38
90000,1600,20,22578,9611,43
1000,3200,20,25935,11117,44
2000,3200,20,26446,11264,50
3000,3200,20,26263,11262,56
4000,3200,20,26656,11536,66
5000,3200,20,26835,11680,59
6000,3200,20,27263,11860,48
7000,3200,20,27383,12059,54
8000,3200,20,27454,12283,52
9000,3200,20,27955,12110,54
10000,3200,20,28014,12187,54
11000,3200,20,28457,12445,52
12000,3200,20,28623,12828,59
13000,3200,20,28742,12685,51
14000,3200,20,29026,12953,77
15000,3200,20,29200,12960,60
16000,3200,20,29311,13190,55
17000,3200,20,29825,13054,67
18000,3200,20,29935,13295,58
19000,3200,20,30088,13176,71
20000,3200,20,30380,13561,66
21000,3200,20,30724,13450,68
22000,3200,20,30647,13817,79
23000,3200,20,30569,13580,69
24000,3200,20,31088,13786,79
25000,3200,20,31026,13983,76
26000,3200,20,31683,14168,67
27000,3200,20,31552,13857,88
28000,3200,20,31868,14059,75
29000,3200,20,32206,14079,98
30000,3200,20,32347,14456,81
31000,3200,20,32356,14121,73
32000,3200,20,32686,14063,104
33000,3200,20,33038,14391,168
34000,3200,20,33047,14476,194
35000,3200,20,33067,14443,267
36000,3200,20,33414,14288,316
37000,3200,20,33303,14369,382
38000,3200,20,33306,14503,367
39000,3200,20,33655,14315,357
40000,3200,20,33486,14353,248
41000,3200,20,33851,14246,240
42000,3200,20,33918,14176,180
43000,3200,20,33738,14475,179
44000,3200,20,34090,14270,206
45000,3200,20,33900,14100,270
46000,3200,20,33839,14206,334
47000,3200,20,34239,13852,374
48000,3200,20,34516,13930,406
49000,3200,20,34262,13957,439
50000,3200,20,34686,13776,403
51000,3200,20,33907,13764,357
52000,3200,20,34006,13484,262
53000,3200,20,34167,13340,234
54000,3200,20,34193,13407,161
55000,3200,20,33910,13113,110
56000,3200,20,33854,13045,82
57000,3200,20,33260,13118,93
58000,3200,20,33762,12805,66
59000,3200,20,33421,12848,70
60000,3200,20,32845,12574,56
61000,3200,20,32973,12485,56
62000,3200,20,32425,12454,65
63000,3200,20,32490,12378,80
64000,3200,20,32447,11994,66
