x,theta,time,ch1,ch2,coincidences
1000,0,10,9777,3747,11
2000,0,10,10185,3788,20
3000,0,10,10310,3870,10
4000,0,10,10546,3849,9
5000,0,10,10486,3932,14
6000,0,10,10762,3927,19
7000,0,10,10821,3970,16
8000,0,10,11096,4044,24
9000,0,10,10956,3997,15
10000,0,10,11191,4188,17
11000,0,10,11285,4096,13
12000,0,10,11352,4221,22
13000,0,10,11483,4249,26
14000,0,10,11430,4191,15
15000,0,10,11535,4435,24
16000,0,10,11855,4357,17
17000,0,10,11867,4505,27
18000,0,10,11855,4401,18
19000,0,10,12033,4402,14
20000,0,10,12334,4657,31
21000,0,10,12172,4480,21
22000,0,10,11962,4721,24
23000,0,10,12476,4658,16
24000,0,10,12441,4584,22
25000,0,10,12705,4628,16
26000,0,10,12634,4667,21
27000,0,10,12751,4751,19
28000,0,10,13156,4869,27
29000,0,10,12983,4804,26
30000,0,10,13115,4767,23
31000,0,10,13149,4901,30
32000,0,10,13309,5023,27
33000,0,10,13044,4787,31
34000,0,10,13359,4838,21
35000,0,10,13392,4919,33
36000,0,10,13699,4921,26
37000,0,10,13423,4943,27
38000,0,10,13467,4853,26
39000,0,10,13317,4827,25
40000,0,10,13594,4921,37
41000,0,10,13669,5015,60
42000,0,10,13799,4927,84
43000,0,10,13531,4950,91
44000,0,10,13878,4831,113
45000,0,10,13809,4941,120
46000,0,10,13759,5049,112
47000,0,10,13865,4975,142
48000,0,10,13899,4895,120
49000,0,10,13847,5004,83
50000,0,10,13941,4825,69
51000,0,10,13817,4959,51
52000,0,10,13904,4950,50
53000,0,10,13818,4867,88
54000,0,10,13856,4846,111
55000,0,10,13873,4880,127
56000,0,10,13724,4798,140
57000,0,10,13825,4916,186
58000,0,10,13816,4754,132
59000,0,10,13676,4771,114
60000,0,10,13675,4739,122
61000,0,10,13685,4771,80
62000,0,10,13474,4760,52
63000,0,10,13421,4784,30
64000,0,10,13381,4640,36
65000,0,10,13335,4695,39
66000,0,10,13502,4654,30
67000,0,10,13271,4614,26
68000,0,10,13226,4648,25
69000,0,10,13251,4580,26
70000,0,10,12885,4695,27
71000,0,10,13033,3391,14
72000,0,10,12673,4349,19
73000,0,10,12715,4504,31
74000,0,10,12710,4432,21
75000,0,10,12725,4418,23
76000,0,10,12641,4385,23
77000,0,10,12447,4361,18
78000,0,10,12580,4315,16
79000,0,10,12200,4346,21
80000,0,10,12417,4250,16
81000,0,10,12126,4201,17
82000,0,10,11930,3997,17
83000,0,10,11920,3978,17
84000,0,10,11881,4015,30
85000,0,10,11692,3723,19
86000,0,10,11439,3939,18
87000,0,10,11205,3831,21
88000,0,10,11282,3855,11
89000,0,10,11206,3816,17
90000,0,10,10937,3831,22
