x,theta,time,ch1,ch2,coincidences
1000,0,20,26054,11258,53
2000,0,20,26221,11270,48
3000,0,20,26514,11587,41
4000,0,20,26996,11991,54
5000,0,20,27230,11884,61
6000,0,20,28194,12181,53
7000,0,20,28180,11908,58
8000,0,20,28464,12392,67
9000,0,20,28682,12574,63
10000,0,20,29086,12793,51
11000,0,20,29127,13249,59
12000,0,20,29544,13338,65
13000,0,20,29802,13469,68
14000,0,20,29917,13629,60
15000,0,20,30580,13714,74
16000,0,20,30813,13898,53
17000,0,20,30847,14405,73
18000,0,20,31400,14386,83
19000,0,20,31607,14542,78
20000,0,20,31638,14787,78
21000,0,20,32164,14910,85
22000,0,20,32266,15037,94
23000,0,20,32725,15319,116
24000,0,20,32771,15749,112
25000,0,20,32846,15683,125
26000,0,20,33167,16064,124
27000,0,20,33496,16114,126
28000,0,20,33572,16491,138
29000,0,20,33550,16722,160
30000,0,20,33539,16801,142
31000,0,20,34067,17182,142
32000,0,20,34080,17490,166
33000,0,20,34027,17602,151
34000,0,20,34707,17844,136
35000,0,20,34660,18129,146
36000,0,20,34908,18378,106
37000,0,20,34869,18460,122
38000,0,20,34934,18737,130
39000,0,20,35487,18589,112
40000,0,20,34931,19106,96
41000,0,20,35712,18930,100
42000,0,20,35515,19403,97
43000,0,20,35505,19446,103
44000,0,20,35304,19679,99
45000,0,20,35676,19944,123
46000,0,20,36044,20244,124
47000,0,20,36113,20205,121
48000,0,20,35967,20668,162
49000,0,20,36379,20390,183
50000,0,20,36321,20538,267
51000,0,20,36502,20838,393
52000,0,20,36308,20890,479
53000,0,20,37242,21175,557
54000,0,20,37209,20946,558
55000,0,20,37393,20924,623
56000,0,20,37380,21294,792
57000,0,20,37342,21281,867
58000,0,20,37287,21137,916
59000,0,20,37577,21007,978
60000,0,20,37485,21309,948
61000,0,20,37656,21184,828
62000,0,20,37334,20996,676
63000,0,20,37656,21211,552
64000,0,20,36616,21137,370
65000,0,20,36561,20916,214
66000,0,20,36963,20841,129
67000,0,20,36857,21075,137
68000,0,20,36537,21128,136
69000,0,20,36169,20655,122
70000,0,20,36587,20749,135
71000,0,20,36457,20634,129
72000,0,20,35896,20473,153
73000,0,20,36036,20327,180
74000,0,20,35703,20232,181
75000,0,20,35650,20062,216
76000,0,20,35348,20088,239
77000,0,20,35177,19544,198
78000,0,20,34969,19667,210
79000,0,20,34828,19575,217
80000,0,20,34777,19372,204
81000,0,20,34445,18976,127
82000,0,20,34134,19093,144
83000,0,20,33753,18567,85
84000,0,20,33703,18683,126
85000,0,20,33495,18267,119
86000,0,20,33061,18160,86
87000,0,20,32801,18066,91
88000,0,20,32738,17805,111
89000,0,20,32444,17697,101
90000,0,20,32381,17343,89
1000,320,20,24842,11839,52
2000,320,20,25203,11930,58
3000,320,20,25312,11933,36
4000,320,20,25416,12380,48
5000,320,20,25732,12298,50
6000,320,20,26039,12618,53
7000,320,20,26511,12906,56
8000,320,20,26568,13056,43
9000,320,20,26855,13152,62
10000,320,20,27291,13339,59
11000,320,20,27438,13512,66
12000,320,20,27580,13590,55
13000,320,20,28014,13839,67
14000,320,20,28321,14159,64
15000,320,20,28621,14422,67
16000,320,20,28871,14518,64
17000,320,20,29040,14576,52
18000,320,20,29233,14949,72
19000,320,20,29556,15173,85
20000,320,20,29641,15403,65
21000,320,20,30155,15560,73
22000,320,20,29890,15722,67
23000,320,20,30316,16079,84
24000,320,20,30433,16303,112
25000,320,20,30727,16614,122
26000,320,20,31121,16873,121
27000,320,20,31102,16945,138
28000,320,20,31740,17394,120
29000,320,20,31967,17696,154
30000,320,20,31722,17585,160
31000,320,20,31921,17989,132
32000,320,20,31988,18188,149
33000,320,20,32564,18438,128
34000,320,20,32473,18487,145
35000,320,20,32594,18884,109
36000,320,20,32491,19085,131
37000,320,20,32647,19253,119
38000,320,20,32996,19676,109
39000,320,20,32969,19645,99
40000,320,20,33265,20020,107
41000,320,20,32880,19983,86
42000,320,20,33154,20073,93
43000,320,20,33326,20367,96
44000,320,20,33524,20676,122
45000,320,20,33599,20722,111
46000,320,20,33456,21055,125
47000,320,20,33688,21162,121
48000,320,20,33794,21153,141
49000,320,20,33525,20986,145
50000,320,20,33402,21316,238
51000,320,20,33499,21644,361
52000,320,20,33514,21896,457
53000,320,20,33950,21597,534
54000,320,20,34105,21840,699
55000,320,20,34302,21812,836
56000,320,20,34072,21511,1029
57000,320,20,34247,21892,1106
58000,320,20,34322,21509,1016
59000,320,20,34965,22009,974
60000,320,20,34311,21872,834
61000,320,20,34560,21961,623
62000,320,20,34738,21750,473
63000,320,20,34446,21701,284
64000,320,20,34345,21619,170
65000,320,20,34447,21682,125
66000,320,20,34298,21687,127
67000,320,20,33847,21369,114
68000,320,20,33866,21358,119
69000,320,20,34345,21247,119
70000,320,20,33653,21234,112
71000,320,20,33784,21177,99
72000,320,20,33639,21181,120
73000,320,20,33216,21008,152
74000,320,20,33119,20753,134
75000,320,20,33250,20502,194
76000,320,20,32834,20691,200
77000,320,20,32765,20110,190
78000,320,20,32674,20204,210
79000,320,20,32249,19966,197
80000,320,20,32015,19671,178
81000,320,20,31525,19770,163
82000,320,20,31517,19666,144
83000,320,20,31354,19461,109
84000,320,20,31424,19098,123
85000,320,20,31313,18590,81
86000,320,20,31024,18644,108
87000,320,20,30902,18500,95
88000,320,20,30509,18110,99
89000,320,20,30056,18052,74
90000,320,20,29674,17788,74
1000,640,20,24594,11880,38
2000,640,20,25011,11958,42
3000,640,20,25452,12162,42
4000,640,20,25498,12308,45
5000,640,20,25978,12452,51
6000,640,20,26501,12826,49
7000,640,20,26824,12746,53
8000,640,20,26533,13003,56
9000,640,20,27175,13365,61
10000,640,20,27071,13657,56
11000,640,20,27404,13732,56
12000,640,20,27718,13945,50
13000,640,20,28073,14138,53
14000,640,20,28397,14229,56
15000,640,20,28378,14627,60
16000,640,20,28816,14767,76
17000,640,20,28746,14886,77
18000,640,20,29130,15240,77
19000,640,20,29785,15617,69
20000,640,20,29758,15804,88
21000,640,20,29675,16270,77
22000,640,20,30146,16212,91
23000,640,20,30440,16562,104
24000,640,20,30842,16632,94
25000,640,20,31068,17064,115
26000,640,20,31157,17273,116
27000,640,20,31431,17389,124
28000,640,20,31661,17384,128
29000,640,20,31828,17833,132
30000,640,20,31779,18120,148
31000,640,20,32256,18357,158
32000,640,20,32126,18552,123
33000,640,20,32521,18868,146
34000,640,20,32590,19094,140
35000,640,20,32800,19482,141
36000,640,20,33068,19641,133
37000,640,20,32727,19619,103
38000,640,20,33061,19935,110
39000,640,20,33449,19974,103
40000,640,20,32971,20371,111
41000,640,20,33473,20399,122
42000,640,20,33037,20755,107
43000,640,20,33249,20901,101
44000,640,20,33411,21096,111
