Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.50
Upper Discriminator:,5150
Lower Discriminator:,217
Calibration Coefficients:,8.829086371750384E-4,3.833049284484715,164.02950974606097
Calibration Channels:,249,286,543
Calibration Energies:,1173.2,1332.5,2505.7
Elapsed Real Time:,300.55
Elapsed Live Time:,281.02
Start Time:,May 01, 2025, 03:44:04
End Time:,May 01, 2025, 03:49:38
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,164.02950974606097,3
1,167.86344193918285,30
2,171.6991399495791,32
3,175.5366037772497,27
4,179.37583342219463,34
5,183.21682888441393,119
6,187.05959016390756,3491
7,190.90411726067555,6641
8,194.7504101747179,8525
9,198.59846890603458,10812
10,202.44829345462563,13553
11,206.299883820491,17229
12,210.15324000363074,20570
13,214.00836200404484,22722
14,217.86524982173327,22538
15,221.72390345669606,20890
16,225.58432290893322,19703
17,229.4465081784447,17761
18,233.31045926523055,16112
19,237.17617616929073,15151
20,241.0436588906253,14501
21,244.91290742923417,13765
22,248.7839217851174,13386
23,252.656701958275,12988
24,256.53124794870695,12784
25,260.4075597564132,12425
26,264.2856373813939,12516
27,268.16548082364886,12155
28,272.0470900831782,11770
29,275.9304651599819,11534
30,279.8156060540599,11254
31,283.70251276541234,10912
32,287.59118529403906,10640
33,291.48162363994015,10342
34,295.3738278031156,10056
35,299.26779778356536,9775
36,303.1635335812896,9552
37,307.061035196288,9429
38,310.9603026285609,9187
39,314.8613358781081,9120
40,318.76413494492965,9248
41,322.6686998290255,9163
42,326.5750305303958,9509
43,330.4831270490404,9283
44,334.39298938495926,9400
45,338.30461753815257,9324
46,342.21801150862024,9318
47,346.1331712963622,9590
48,350.05009690137854,9099
49,353.9687883236693,8637
50,357.8892455632343,8515
51,361.8114686200737,8195
52,365.7354574941875,8089
53,369.66121218557555,7803
54,373.58873269423793,7527
55,377.5180190201748,7449
56,381.44907116338595,7322
57,385.3818891238714,6913
58,389.31647290163124,6992
59,393.25282249666543,6843
60,397.190937908974,6755
61,401.1308191385569,6493
62,405.0724661854141,6392
63,409.01587904954573,6432
64,412.96105773095167,6261
65,416.90800222963196,6151
66,420.8567125455866,6189
67,424.8071886788156,6091
68,428.75943062931896,5918
69,432.71343839709664,5958
70,436.6692119821487,5713
71,440.6267513844751,5642
72,444.58605660407585,5639
73,448.547127640951,5605
74,452.50996449510035,5537
75,456.47456716652414,5519
76,460.44093565522235,5385
77,464.40906996119486,5374
78,468.3789700844416,5378
79,472.35063602496285,5049
80,476.3240677827584,4989
81,480.2992653578283,5090
82,484.27622875017255,4827
83,488.2549579597911,4901
84,492.2354529866841,4774
85,496.2177138308514,4710
86,500.201740492293,4610
87,504.18753297100903,4744
88,508.1750912669994,4669
89,512.164415380264,4625
90,516.1555053108032,4687
91,520.1483610586165,4655
92,524.1429826237043,4544
93,528.1393700060663,4514
94,532.1375232057028,4588
95,536.1374422226136,4519
96,540.1391270567988,4691
97,544.1425777082582,4555
98,548.1477941769921,4699
99,552.1547764630003,4519
100,556.1635245662828,4548
101,560.1740384868397,4552
102,564.1863182246709,4517
103,568.2003637797766,4454
104,572.2161751521564,4514
105,576.2337523418108,4620
106,580.2530953487394,4614
107,584.2742041729425,4465
108,588.2970788144198,4478
109,592.3217192731715,4459
110,596.3481255491976,4386
111,600.376297642498,4281
112,604.4062355530727,4290
113,608.4379392809218,4175
