Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,46.28
Elapsed Live Time:,43.9
Start Time:,May 01, 2025, 02:37:32
End Time:,May 01, 2025, 02:38:19
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,678,794,35327,16606,47,722

Channel Data:
Channel,Energy,Counts
0,,1
1,,1
2,,0
3,,3
4,,1
5,,8
6,,106
7,,191
8,,200
9,,244
10,,322
11,,354
12,,390
13,,422
14,,452
15,,459
16,,428
17,,411
18,,432
19,,445
20,,404
21,,465
22,,445
23,,494
24,,469
25,,506
26,,571
27,,597
28,,723
29,,729
30,,763
31,,822
32,,888
33,,879
34,,948
35,,1082
36,,1083
37,,1232
38,,1260
39,,1314
40,,1356
41,,1318
42,,1341
43,,1283
44,,1272
45,,1228
46,,1164
47,,1145
48,,1150
49,,1145
50,,1082
51,,1039
52,,1021
53,,1008
54,,964
55,,983
56,,988
57,,916
58,,920
59,,932
60,,906
61,,908
62,,912
63,,937
64,,888
65,,903
66,,899
67,,895
68,,809
69,,812
70,,870
71,,855
72,,754
73,,785
74,,841
75,,806
76,,803
77,,797
78,,788
79,,760
80,,711
81,,762
82,,755
83,,768
84,,717
85,,722
86,,676
87,,677
88,,670
89,,676
90,,680
91,,649
92,,655
93,,665
94,,639
95,,661
96,,658
97,,612
98,,605
99,,622
100,,572
101,,605
102,,655
103,,617
104,,581
105,,575
106,,610
107,,624
108,,630
109,,621
110,,631
111,,570
112,,604
113,,602
114,,618
115,,591
116,,625
117,,655
118,,578
119,,647
120,,661
121,,629
122,,603
123,,659
124,,608
125,,624
126,,634
127,,629
128,,591
129,,630
130,,575
131,,574
132,,589
133,,588
134,,572
135,,579
136,,568
137,,552
138,,536
139,,514
140,,567
141,,544
142,,494
143,,504
144,,509
145,,480
146,,489
147,,474
148,,505
149,,451
150,,439
151,,489
152,,477
153,,450
154,,465
155,,435
156,,424
157,,435
158,,429
159,,415
160,,441
161,,479
162,,448
163,,421
164,,407
165,,410
166,,414
167,,397
168,,406
169,,379
170,,406
171,,393
172,,378
173,,398
174,,388
175,,410
176,,413
177,,386
178,,369
179,,407
180,,419
181,,398
182,,375
183,,394
184,,383
185,,382
186,,391
187,,396
188,,377
189,,353
190,,366
191,,384
192,,379
193,,373
194,,368
195,,324
196,,348
197,,329
198,,340
199,,380
200,,343
201,,372
202,,351
203,,316
204,,341
205,,342
206,,366
207,,322
208,,320
209,,332
210,,307
211,,349
212,,326
213,,291
214,,323
215,,313
216,,317
217,,320
218,,350
219,,295
220,,337
221,,335
222,,284
223,,307
224,,327
225,,288
226,,287
227,,277
228,,293
229,,330
230,,270
231,,280
232,,313
233,,277
234,,304
235,,280
236,,291
237,,302
238,,283
239,,300
240,,298
241,,304
242,,292
243,,303
244,,288
245,,334
246,,301
247,,314
248,,321
249,,266
250,,302
251,,317
252,,277
253,,291
254,,314
255,,266
256,,315
257,,270
258,,279
259,,281
260,,286
261,,294
262,,295
263,,278
264,,287
265,,296
266,,291
267,,282
268,,272
269,,301
270,,275
271,,297
272,,299
273,,282
274,,299
275,,275
276,,283
277,,269
278,,299
279,,299
280,,293
281,,270
282,,289
283,,269
284,,292
285,,278
286,,245
287,,276
288,,278
289,,255
290,,257
291,,255
292,,274
293,,308
294,,254
295,,237
296,,272
297,,255
298,,273
299,,234
300,,273
301,,285
302,,264
303,,252
304,,251
305,,232
306,,240
307,,213
308,,244
309,,246
310,,228
311,,215
312,,243
313,,243
314,,225
315,,200
316,,222
317,,222
318,,253
319,,241
320,,248
321,,202
322,,230
323,,234
324,,250
325,,213
326,,263
327,,219
328,,216
329,,247
330,,203
331,,221
332,,198
333,,210
334,,230
335,,230
336,,222
337,,236
338,,221
339,,241
340,,213
341,,235
342,,217
343,,214
344,,258
345,,221
346,,235
347,,210
348,,228
349,,229
350,,224
351,,252
352,,218
353,,252
354,,204
355,,222
356,,202
357,,209
358,,214
359,,212
360,,201
361,,223
362,,211
363,,228
364,,218
365,,214
366,,214
367,,226
368,,196
369,,243
370,,218
371,,209
372,,225
373,,227
374,,212
375,,212
376,,184
377,,224
378,,216
379,,212
380,,222
381,,209
382,,207
383,,202
384,,187
385,,211
386,,203
387,,206
388,,206
389,,210
390,,216
391,,215
392,,216
393,,229
394,,199
395,,202
396,,224
397,,205
398,,204
399,,209
400,,202
401,,215
402,,185
403,,210
404,,201
405,,214
406,,188
407,,214
408,,203
409,,200
410,,226
411,,211
412,,215
413,,202
414,,210
415,,185
416,,211
417,,209
418,,208
419,,197
420,,201
421,,206
422,,201
423,,193
424,,176
425,,184
426,,200
427,,209
428,,210
429,,194
430,,217
431,,175
432,,185
433,,177
434,,211
435,,206
436,,210
437,,205
438,,213
439,,227
440,,211
441,,205
442,,220
443,,199
444,,206
445,,224
446,,208
447,,208
448,,204
449,,205
450,,221
451,,193
452,,207
453,,209
454,,224
455,,209
456,,217
457,,217
458,,213
459,,211
460,,218
461,,206
462,,216
463,,202
464,,211
465,,225
466,,194
467,,202
468,,197
469,,202
470,,227
471,,235
472,,209
473,,227
474,,235
475,,211
476,,219
477,,220
478,,198
479,,239
480,,199
481,,226
482,,199
483,,246
484,,203
485,,210
486,,205
487,,211
488,,211
489,,203
490,,197
491,,204
492,,212
493,,202
494,,200
495,,195
496,,218
497,,221
498,,219
499,,200
500,,204
501,,229
502,,194
503,,205
504,,209
505,,205
506,,227
507,,179
508,,214
509,,197
510,,179
511,,189
512,,183
513,,189
514,,188
515,,192
516,,190
517,,186
518,,198
519,,179
520,,190
521,,183
522,,192
523,,179
524,,197
525,,192
526,,182
527,,166
528,,186
529,,144
530,,169
531,,199
532,,141
533,,179
534,,158
535,,181
536,,183
537,,174
538,,149
539,,172
540,,171
541,,146
542,,146
543,,165
544,,166
545,,173
546,,158
547,,146
548,,172
549,,145
550,,137
551,,156
552,,159
553,,153
554,,133
555,,137
556,,158
557,,166
558,,164
559,,160
560,,136
561,,131
562,,163
563,,131
564,,141
565,,159
566,,146
567,,135
568,,135
569,,178
570,,179
571,,162
572,,159
573,,162
574,,138
575,,147
576,,154
577,,137
578,,141
579,,148
580,,162
581,,165
582,,206
583,,181
584,,184
585,,197
586,,168
587,,203
588,,227
589,,197
590,,198
591,,196
592,,222
