Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.50
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,95.48
Elapsed Live Time:,90.76
Start Time:,May 01, 2025, 04:12:24
End Time:,May 01, 2025, 04:14:00
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,4
2,,3
3,,7
4,,8
5,,26
6,,1120
7,,2172
8,,2834
9,,3442
10,,4451
11,,5584
12,,6785
13,,7536
14,,7437
15,,6880
16,,6428
17,,5634
18,,5030
19,,4723
20,,4511
21,,4391
22,,4173
23,,4019
24,,3984
25,,3754
26,,3843
27,,3753
28,,3588
29,,3475
30,,3442
31,,3343
32,,3138
33,,3123
34,,3073
35,,3099
36,,2979
37,,2955
38,,2944
39,,2873
40,,2878
41,,2885
42,,2859
43,,2669
44,,2619
45,,2589
46,,2492
47,,2503
48,,2421
49,,2415
50,,2258
51,,2245
52,,2144
53,,2175
54,,2104
55,,1973
56,,1964
57,,1850
58,,1914
59,,1796
60,,1876
61,,1827
62,,1745
63,,1776
64,,1674
65,,1796
66,,1709
67,,1716
68,,1626
69,,1679
70,,1711
71,,1662
72,,1520
73,,1555
74,,1578
75,,1530
76,,1517
77,,1522
78,,1518
79,,1540
80,,1471
81,,1425
82,,1451
83,,1387
84,,1371
85,,1382
86,,1377
87,,1367
88,,1390
89,,1405
90,,1420
91,,1374
92,,1466
93,,1425
94,,1362
95,,1383
96,,1453
97,,1472
98,,1376
99,,1258
100,,1230
101,,1240
102,,1126
103,,1123
104,,1111
105,,1016
106,,1071
107,,995
108,,915
109,,881
110,,867
111,,850
112,,810
113,,762
114,,751
115,,742
116,,743
117,,672
118,,723
119,,700
120,,658
121,,654
122,,708
123,,733
124,,762
125,,879
126,,907
127,,1027
128,,1197
129,,1475
130,,1759
131,,2128
132,,2539
133,,3287
134,,3827
135,,4517
136,,5300
137,,6028
138,,6618
139,,7051
140,,7316
141,,7588
142,,7592
143,,7256
144,,6989
145,,6459
146,,5874
147,,5248
148,,4697
149,,3837
150,,3281
151,,2642
152,,2122
153,,1655
154,,1305
155,,981
156,,773
157,,599
158,,455
159,,416
160,,322
161,,297
162,,283
163,,285
164,,241
165,,223
166,,221
167,,201
168,,194
169,,204
170,,208
171,,196
172,,200
173,,186
174,,184
175,,188
176,,169
177,,205
178,,163
179,,181
180,,166
181,,186
182,,172
183,,186
184,,170
185,,168
186,,158
187,,173
188,,131
189,,168
190,,149
191,,155
192,,158
193,,174
194,,162
195,,148
196,,144
197,,148
198,,141
199,,132
200,,143
201,,138
202,,124
203,,146
204,,156
205,,135
206,,123
207,,138
208,,124
209,,119
210,,134
211,,149
212,,122
213,,126
214,,115
215,,125
216,,142
217,,104
218,,122
219,,127
220,,129
221,,120
222,,130
223,,133
224,,115
225,,108
226,,102
227,,107
228,,144
229,,106
230,,116
231,,125
232,,133
233,,122
234,,146
235,,122
236,,152
237,,95
238,,129
239,,154
240,,134
241,,112
242,,125
243,,113
244,,124
245,,96
246,,126
247,,120
248,,99
249,,119
250,,122
251,,133
252,,105
253,,95
254,,93
255,,105
256,,95
257,,122
258,,108
259,,105
260,,94
261,,105
262,,97
263,,106
264,,117
265,,104
266,,104
267,,101
268,,80
269,,103
270,,95
271,,94
272,,84
273,,107
274,,75
275,,83
276,,101
277,,70
278,,104
279,,89
280,,83
281,,104
282,,74
283,,100
284,,105
285,,83
286,,102
287,,105
288,,80
289,,98
290,,91
291,,104
292,,95
293,,87
294,,93
295,,80
296,,84
297,,87
298,,74
299,,103
300,,94
301,,97
302,,98
303,,76
304,,104
305,,73
306,,86
307,,80
308,,95
309,,86
310,,76
311,,82
312,,72
313,,96
314,,79
315,,91
316,,77
317,,77
318,,91
319,,72
320,,77
321,,84
322,,84
323,,81
324,,78
325,,83
326,,73
327,,71
328,,63
329,,71
330,,60
331,,60
332,,55
333,,56
334,,63
335,,57
336,,56
337,,70
338,,56
339,,62
340,,60
341,,43
342,,68
343,,67
344,,47
345,,66
346,,68
347,,51
348,,55
349,,47
350,,57
351,,53
352,,58
353,,55
354,,55
355,,59
356,,46
357,,46
358,,67
359,,52
360,,63
361,,55
362,,53
363,,65
364,,74
365,,78
366,,71
367,,71
368,,57
369,,51
370,,65
371,,63
372,,57
373,,61
374,,60
375,,50
376,,47
377,,55
378,,69
379,,33
380,,48
381,,51
382,,61
383,,48
384,,57
385,,64
386,,62
387,,48
388,,53
389,,54
390,,49
391,,60
392,,45
393,,54
394,,52
395,,47
396,,49
397,,38
398,,47
399,,55
400,,42
401,,44
402,,37
403,,54
404,,42
405,,46
406,,46
407,,40
408,,42
409,,50
