Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,129.86
Elapsed Live Time:,123.4
Start Time:,May 01, 2025, 02:40:48
End Time:,May 01, 2025, 02:42:58
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,307,422,167340,139499,38,363

Channel Data:
Channel,Energy,Counts
0,,0
1,,8
2,,7
3,,8
4,,13
5,,19
6,,295
7,,542
8,,599
9,,687
10,,864
11,,1103
12,,1667
13,,2242
14,,3261
15,,3631
16,,3585
17,,2747
18,,2071
19,,1604
20,,1415
21,,1421
22,,1303
23,,1335
24,,1378
25,,1402
26,,1564
27,,1735
28,,1889
29,,2013
30,,2137
31,,2244
32,,2444
33,,2536
34,,2704
35,,2867
36,,3161
37,,3336
38,,3520
39,,3715
40,,3812
41,,3876
42,,3891
43,,3812
44,,3698
45,,3592
46,,3521
47,,3366
48,,3252
49,,3171
50,,3063
51,,2936
52,,2777
53,,2794
54,,2727
55,,2752
56,,2649
57,,2590
58,,2494
59,,2476
60,,2566
61,,2546
62,,2446
63,,2372
64,,2331
65,,2344
66,,2279
67,,2279
68,,2358
69,,2322
70,,2273
71,,2183
72,,2203
73,,2150
74,,2209
75,,2128
76,,2069
77,,2064
78,,1956
79,,2012
80,,2022
81,,1982
82,,1921
83,,1941
84,,1840
85,,1724
86,,1811
87,,1812
88,,1827
89,,1747
90,,1750
91,,1752
92,,1711
93,,1731
94,,1690
95,,1688
96,,1703
97,,1661
98,,1619
99,,1709
100,,1655
101,,1656
102,,1661
103,,1685
104,,1634
105,,1586
106,,1558
107,,1623
108,,1657
109,,1620
110,,1573
111,,1595
112,,1537
113,,1543
114,,1488
115,,1568
116,,1464
117,,1513
118,,1428
119,,1448
120,,1469
121,,1443
122,,1384
123,,1411
124,,1342
125,,1389
126,,1403
127,,1416
128,,1375
129,,1314
130,,1324
131,,1284
132,,1275
133,,1281
134,,1290
135,,1277
136,,1244
137,,1179
138,,1169
139,,1171
140,,1163
141,,1207
142,,1203
143,,1140
144,,1136
145,,1098
146,,1109
147,,1139
148,,1018
149,,1070
150,,986
151,,986
152,,1031
153,,999
154,,962
155,,1045
156,,956
157,,970
158,,1035
159,,1025
160,,1030
161,,972
162,,954
163,,947
164,,947
165,,929
166,,1002
167,,912
168,,883
169,,916
170,,896
171,,861
172,,880
173,,908
174,,900
175,,835
176,,878
177,,827
178,,871
179,,886
180,,864
181,,840
182,,814
183,,895
184,,840
185,,881
186,,878
187,,927
188,,850
189,,870
190,,823
191,,807
192,,833
193,,812
194,,847
195,,790
196,,814
197,,829
198,,774
199,,797
200,,805
201,,809
202,,797
203,,798
204,,757
205,,767
206,,742
207,,850
208,,774
209,,786
210,,778
211,,770
212,,779
213,,766
214,,793
215,,752
216,,717
217,,715
218,,747
219,,719
220,,704
221,,750
222,,709
223,,663
224,,737
225,,754
226,,740
227,,712
228,,725
229,,759
230,,719
231,,749
232,,709
233,,779
234,,722
235,,754
236,,765
237,,719
238,,714
239,,682
240,,761
241,,685
242,,737
243,,762
244,,750
245,,755
246,,709
247,,716
248,,725
249,,757
250,,716
251,,692
252,,718
253,,702
254,,646
255,,728
256,,715
257,,693
258,,657
259,,688
260,,664
261,,604
262,,640
263,,631
264,,657
265,,639
266,,593
267,,599
268,,598
269,,576
270,,575
271,,567
272,,549
273,,525
274,,522
275,,529
276,,504
277,,523
278,,508
279,,505
280,,459
281,,462
282,,433
283,,484
284,,440
285,,438
286,,456
287,,478
288,,471
289,,452
290,,429
291,,447
292,,429
293,,410
294,,380
295,,402
296,,409
297,,384
298,,393
299,,365
300,,372
301,,376
302,,365
303,,340
304,,380
305,,341
306,,367
307,,358
308,,348
309,,346
310,,361
311,,388
312,,377
313,,373
314,,354
315,,354
316,,351
317,,398
318,,351
319,,389
320,,417
321,,391
322,,427
323,,387
324,,440
325,,470
326,,470
327,,523
328,,530
329,,611
330,,643
331,,638
332,,658
333,,783
334,,781
335,,842
336,,962
337,,975
338,,1083
339,,1128
340,,1237
341,,1355
342,,1458
343,,1548
344,,1658
345,,1866
346,,1935
347,,2144
348,,2279
349,,2401
350,,2503
351,,2614
352,,2789
353,,3012
354,,3119
355,,3179
356,,3303
357,,3472
358,,3443
359,,3587
360,,3708
361,,3675
362,,3761
363,,3774
364,,3781
365,,3863
366,,3810
367,,3758
368,,3770
369,,3612
370,,3577
371,,3503
372,,3464
373,,3305
374,,3274
375,,3167
376,,2917
377,,2791
378,,2709
379,,2621
380,,2458
381,,2308
382,,2284
383,,2086
384,,1962
385,,1801
386,,1691
387,,1542
388,,1427
389,,1309
390,,1186
391,,1101
392,,993
393,,872
394,,783
