Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.50
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,104.49
Elapsed Live Time:,100.85
Start Time:,May 01, 2025, 04:09:16
End Time:,May 01, 2025, 04:11:01
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,2
1,,0
2,,5
3,,4
4,,3
5,,18
6,,1070
7,,1986
8,,2655
9,,3346
10,,4181
11,,5341
12,,6376
13,,6949
14,,6990
15,,6482
16,,6173
17,,5577
18,,5093
19,,4670
20,,4494
21,,4434
22,,4293
23,,4034
24,,3900
25,,3785
26,,3613
27,,3650
28,,3553
29,,3304
30,,3233
31,,3184
32,,2975
33,,2847
34,,2837
35,,2719
36,,2603
37,,2567
38,,2547
39,,2454
40,,2409
41,,2346
42,,2340
43,,2276
44,,2228
45,,2139
46,,2071
47,,2094
48,,2025
49,,1898
50,,1914
51,,1732
52,,1850
53,,1680
54,,1605
55,,1550
56,,1596
57,,1467
58,,1433
59,,1442
60,,1365
61,,1431
62,,1413
63,,1295
64,,1340
65,,1234
66,,1256
67,,1231
68,,1230
69,,1208
70,,1194
71,,1153
72,,1084
73,,1110
74,,1030
75,,1013
76,,960
77,,900
78,,906
79,,867
80,,848
81,,909
82,,803
83,,791
84,,770
85,,757
86,,760
87,,724
88,,734
89,,767
90,,709
91,,746
92,,697
93,,779
94,,772
95,,787
96,,830
97,,914
98,,1046
99,,1191
100,,1303
101,,1541
102,,1847
103,,2165
104,,2533
105,,2850
106,,3079
107,,3387
108,,3459
109,,3592
110,,3456
111,,3282
112,,3032
113,,2780
114,,2413
115,,2014
116,,1798
117,,1506
118,,1139
119,,937
120,,836
121,,698
122,,629
123,,555
124,,535
125,,495
126,,505
127,,466
128,,475
129,,444
130,,479
131,,455
132,,444
133,,409
134,,418
135,,416
136,,419
137,,380
138,,355
139,,379
140,,362
141,,329
142,,368
143,,321
144,,341
145,,323
146,,311
147,,309
148,,340
149,,294
150,,303
151,,317
152,,300
153,,315
154,,302
155,,309
156,,319
157,,305
158,,302
159,,299
160,,284
161,,287
162,,296
163,,294
164,,282
165,,280
166,,318
167,,308
168,,264
169,,272
170,,275
171,,285
172,,270
173,,281
174,,258
175,,281
176,,267
177,,290
178,,246
179,,261
180,,253
181,,247
182,,240
183,,235
184,,270
185,,257
186,,259
187,,240
188,,270
189,,269
190,,268
191,,251
192,,227
193,,205
194,,234
195,,214
196,,224
197,,229
198,,235
199,,243
200,,224
201,,252
202,,224
203,,214
204,,232
205,,223
206,,227
207,,230
208,,240
209,,254
210,,230
211,,245
212,,217
213,,231
214,,222
215,,195
216,,225
217,,223
218,,235
219,,215
220,,231
221,,221
222,,202
223,,212
224,,241
225,,198
226,,190
227,,219
228,,178
229,,181
230,,201
231,,226
232,,164
233,,181
234,,177
235,,165
236,,175
237,,196
238,,171
239,,161
240,,138
241,,174
242,,150
243,,164
244,,186
245,,171
246,,155
247,,161
248,,163
249,,177
250,,185
251,,186
252,,182
253,,221
254,,215
255,,199
256,,279
257,,271
258,,315
259,,300
260,,350
261,,368
262,,388
263,,428
264,,436
265,,448
266,,488
267,,520
268,,557
269,,591
270,,498
271,,589
272,,569
273,,532
274,,552
275,,556
276,,549
277,,487
278,,524
279,,483
280,,454
281,,385
282,,385
283,,390
284,,391
285,,323
286,,329
287,,282
288,,258
289,,225
290,,224
291,,217
292,,223
293,,192
294,,170
295,,175
296,,144
297,,137
298,,139
299,,152
300,,111
301,,117
302,,124
303,,105
304,,113
305,,118
306,,116
307,,98
308,,104
309,,121
310,,101
311,,99
312,,104
313,,120
314,,89
315,,94
316,,105
317,,76
318,,96
319,,113
320,,87
321,,94
322,,81
323,,72
324,,73
325,,82
326,,91
327,,95
328,,74
329,,83
330,,85
331,,82
332,,83
333,,75
334,,95
335,,85
336,,83
337,,74
338,,76
339,,61
340,,86
341,,60
342,,57
343,,56
344,,75
345,,85
346,,67
347,,80
348,,58
349,,61
350,,53
351,,76
352,,61
353,,79
354,,70
355,,66
356,,51
357,,70
358,,83
359,,69
360,,73
361,,69
362,,77
363,,68
364,,70
365,,72
366,,69
367,,67
368,,81
369,,62
370,,76
371,,82
372,,80
373,,72
374,,66
375,,66
376,,81
377,,76
378,,62
379,,73
380,,73
381,,67
382,,77
383,,70
384,,62
385,,64
386,,78
387,,92
388,,67
389,,73
390,,81
391,,66
392,,68
393,,60
394,,59
395,,64
396,,93
397,,74
398,,88
399,,66
400,,57
401,,47
402,,54
403,,61
404,,55
405,,53
406,,55
407,,51
408,,55
409,,42
410,,51
411,,51
412,,59
413,,41
414,,47
415,,41
416,,41
417,,46
418,,35
419,,38
420,,42
421,,45
422,,22
423,,40
424,,36
425,,46
426,,37
427,,33
428,,34
429,,31
430,,43
431,,43
432,,35
433,,19
434,,32
435,,33
436,,34
437,,31
438,,45
439,,41
440,,43
441,,47
442,,32
443,,42
444,,37
445,,39
446,,42
447,,42
448,,34
449,,41
450,,41
451,,42
452,,38
453,,35
454,,42
455,,53
456,,41
457,,37
458,,44
459,,46
460,,43
461,,41
462,,51
463,,42
464,,35
465,,37
466,,36
467,,36
468,,56
469,,43
470,,52
471,,44
472,,42
473,,26
474,,26
475,,33
476,,26
477,,37
478,,33
479,,42
480,,33
481,,40
482,,41
483,,41
484,,35
485,,33
486,,40
487,,30
488,,37
489,,32
490,,30
491,,44
492,,37
493,,32
494,,21
495,,25
496,,32
497,,33
498,,15
499,,28
500,,23
501,,23
502,,32
503,,30
504,,16
505,,21
506,,24
507,,16
508,,25
509,,28
510,,18
511,,35
512,,22
513,,18
514,,25
515,,20
516,,26
517,,31
518,,25
519,,16
520,,23
521,,27
522,,23
523,,27
524,,24
525,,20
526,,20
527,,14
528,,18
529,,16
530,,18
531,,18
532,,25
533,,25
534,,25
535,,19
536,,23
537,,15
538,,18
539,,17
540,,23
541,,27
542,,12
543,,20
544,,10
545,,23
546,,21
547,,17
548,,19
549,,13
550,,16
551,,25
552,,19
553,,31
554,,15
555,,27
556,,17
557,,17
558,,8
559,,15
560,,18
561,,18
562,,19
563,,16
564,,22
565,,19
566,,18
567,,20
568,,20
569,,18
570,,23
571,,17
572,,22
573,,19
574,,16
575,,25
576,,17
577,,17
578,,22
579,,15
580,,16
581,,23
582,,12
583,,14
584,,22
585,,13
586,,19
587,,22
588,,15
589,,16
590,,14
591,,21
592,,10
593,,16
594,,9
595,,17
596,,14
597,,17
598,,21
599,,17
600,,15
601,,16
602,,18
603,,14
604,,20
605,,12
606,,12
607,,17
608,,19
609,,17
610,,18
611,,16
612,,16
613,,11
614,,17
615,,21
616,,17
617,,11
618,,14
619,,10
620,,19
621,,17
622,,14
623,,9
624,,10
625,,12
626,,15
627,,13
628,,16
629,,18
630,,12
631,,17
632,,18
633,,18
634,,12
635,,14
636,,14
637,,11
638,,17
639,,14
640,,14
641,,11
642,,20
643,,7
644,,21
645,,16
646,,13
647,,9
648,,14
649,,10
650,,11
651,,11
652,,23
653,,14
654,,12
655,,12
656,,13
657,,18
658,,9
659,,15
660,,17
661,,22
662,,25
663,,17
664,,18
665,,13
666,,10
667,,10
668,,16
669,,18
670,,18
671,,13
672,,11
673,,12
674,,14
675,,11
676,,19
677,,11
678,,17
679,,16
680,,15
681,,8
682,,12
683,,15
684,,13
685,,14
686,,12
687,,12
688,,13
689,,21
690,,11
691,,10
692,,19
693,,12
694,,14
695,,16
696,,12
697,,15
698,,14
699,,16
700,,16
701,,18
702,,20
703,,13
704,,16
705,,13
706,,13
707,,15
708,,12
709,,7
710,,21
711,,8
712,,17
713,,13
714,,14
715,,19
716,,16
717,,13
718,,14
719,,12
720,,16
721,,9
722,,14
723,,15
724,,12
725,,19
726,,7
727,,9
728,,12
729,,14
730,,22
731,,6
732,,12
733,,10
734,,14
735,,10
736,,7
737,,8
738,,7
739,,11
740,,11
741,,13
742,,13
743,,10
744,,16
745,,15
746,,16
747,,14
748,,13
749,,13
750,,11
751,,12
752,,15
753,,15
754,,10
755,,14
756,,10
757,,12
758,,7
759,,11
760,,17
761,,8
762,,13
763,,16
764,,10
765,,11
766,,9
767,,15
768,,12
769,,9
770,,9
771,,11
772,,18
773,,19
774,,11
775,,11
776,,11
777,,7
778,,6
779,,9
780,,12
781,,14
782,,13
783,,14
784,,5
785,,14
786,,16
787,,10
788,,11
789,,12
790,,20
791,,17
792,,11
793,,11
794,,13
795,,16
796,,13
797,,12
798,,9
799,,15
800,,22
801,,15
802,,6
803,,15
804,,5
805,,6
806,,14
807,,12
808,,12
809,,9
810,,15
811,,13
812,,12
813,,9
814,,5
815,,6
816,,10
817,,14
818,,16
819,,6
820,,11
821,,11
822,,10
823,,11
824,,6
825,,12
826,,7
827,,7
828,,14
829,,21
830,,7
831,,10
832,,10
833,,11
834,,12
835,,4
836,,11
837,,13
838,,12
839,,9
840,,10
841,,12
842,,15
843,,16
844,,8
845,,14
846,,10
847,,16
848,,10
849,,15
850,,11
851,,11
852,,7
853,,12
854,,25
855,,13
856,,6
857,,10
858,,4
859,,14
860,,12
861,,9
862,,16
863,,12
864,,13
865,,11
866,,8
867,,8
868,,13
869,,6
870,,7
871,,11
872,,11
873,,11
874,,9
875,,10
876,,20
877,,5
878,,11
879,,9
880,,12
881,,11
882,,13
883,,12
884,,9
885,,9
886,,14
887,,13
888,,11
889,,13
890,,11
