Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,125.88
Elapsed Live Time:,121.69
Start Time:,May 01, 2025, 02:28:40
End Time:,May 01, 2025, 02:30:46
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,2
2,,5
3,,2
4,,3
5,,10
6,,160
7,,337
8,,401
9,,487
10,,572
11,,636
12,,732
13,,856
14,,940
15,,938
16,,851
17,,783
18,,787
19,,829
20,,824
21,,933
22,,884
23,,984
24,,1087
25,,1155
26,,1275
27,,1400
28,,1492
29,,1589
30,,1816
31,,1944
32,,2012
33,,2251
34,,2284
35,,2476
36,,2604
37,,2717
38,,2996
39,,3028
40,,3081
41,,3147
42,,3118
43,,3221
44,,3113
45,,2884
46,,2899
47,,2765
48,,2723
49,,2600
50,,2585
51,,2526
52,,2578
53,,2356
54,,2325
55,,2343
56,,2283
57,,2285
58,,2265
59,,2192
60,,2135
61,,2104
62,,2140
63,,2077
64,,2034
65,,2107
66,,2097
67,,1978
68,,1950
69,,1944
70,,1917
71,,1947
72,,1889
73,,1902
74,,1877
75,,1838
76,,1760
77,,1807
78,,1695
79,,1739
80,,1674
81,,1591
82,,1658
83,,1570
84,,1605
85,,1468
86,,1549
87,,1543
88,,1459
89,,1542
90,,1368
91,,1447
92,,1438
93,,1319
94,,1344
95,,1349
96,,1369
97,,1380
98,,1329
99,,1288
100,,1319
101,,1285
102,,1261
103,,1185
104,,1267
105,,1197
106,,1195
107,,1170
108,,1234
109,,1139
110,,1205
111,,1164
112,,1099
113,,1064
114,,1150
115,,1164
116,,1106
117,,1106
118,,1041
119,,1065
120,,1048
121,,1011
122,,1051
123,,1034
124,,965
125,,1011
126,,1004
127,,955
128,,941
129,,875
130,,924
131,,927
132,,933
133,,879
134,,849
135,,847
136,,853
137,,798
138,,883
139,,834
140,,823
141,,795
142,,810
143,,738
144,,727
145,,769
146,,718
147,,731
148,,717
149,,710
150,,709
151,,697
152,,687
153,,663
154,,658
155,,687
156,,648
157,,633
158,,663
159,,658
160,,613
161,,561
162,,696
163,,660
164,,647
165,,595
166,,622
167,,604
168,,568
169,,576
170,,573
171,,582
172,,585
173,,561
174,,583
175,,573
176,,529
177,,534
178,,577
179,,552
180,,590
181,,526
182,,524
183,,563
184,,516
185,,566
186,,513
187,,535
188,,484
189,,478
190,,519
191,,514
192,,514
193,,471
194,,525
195,,440
196,,445
197,,487
198,,484
199,,449
200,,466
201,,426
202,,459
203,,411
204,,425
205,,406
206,,414
207,,400
208,,411
209,,381
210,,384
211,,369
212,,390
213,,399
214,,397
215,,342
216,,364
217,,356
218,,364
219,,376
220,,398
221,,373
222,,347
223,,358
224,,335
225,,349
226,,357
227,,329
228,,326
229,,332
230,,325
231,,351
232,,350
233,,334
234,,328
235,,330
236,,343
237,,339
238,,373
239,,341
240,,315
241,,380
242,,344
243,,356
244,,350
245,,362
246,,357
247,,348
248,,344
249,,383
250,,386
251,,363
252,,383
253,,378
254,,444
255,,460
256,,475
257,,512
258,,454
259,,512
260,,539
261,,570
262,,637
263,,674
264,,641
265,,796
266,,709
267,,770
268,,802
269,,922
270,,1004
271,,947
272,,1099
273,,1086
274,,1101
275,,1199
276,,1187
277,,1194
278,,1239
279,,1247
280,,1316
281,,1270
282,,1345
283,,1305
284,,1262
285,,1232
286,,1207
287,,1213
288,,1159
289,,1149
290,,1121
291,,1066
292,,1025
293,,990
294,,917
295,,861
296,,868
297,,793
298,,749
299,,708
300,,589
301,,604
302,,616
303,,506
304,,524
305,,502
306,,460
307,,407
308,,428
309,,392
310,,328
311,,326
312,,328
313,,268
314,,279
315,,258
316,,259
317,,230
318,,249
319,,240
320,,203
321,,232
322,,224
323,,218
324,,203
325,,200
326,,240
327,,228
328,,237
329,,204
330,,228
331,,240
332,,195
333,,194
334,,205
335,,230
336,,185
337,,231
338,,205
339,,202
340,,222
341,,205
342,,184
343,,184
344,,169
345,,190
346,,206
347,,194
348,,177
349,,181
350,,213
351,,154
352,,174
353,,166
354,,184
355,,170
356,,179
357,,167
358,,172
359,,153
360,,181
361,,163
362,,176
363,,175
364,,162
365,,173
366,,168
367,,144
368,,144
369,,138
370,,147
371,,169
372,,142
373,,159
374,,152
375,,162
376,,140
377,,136
378,,154
379,,139
380,,158
381,,150
382,,158
383,,155
384,,168
385,,125
386,,149
387,,157
388,,144
389,,127
390,,156
391,,158
392,,150
393,,146
394,,125
395,,127
396,,138
397,,163
398,,151
399,,150
400,,116
401,,149
402,,145
403,,146
404,,150
405,,163
406,,143
407,,141
408,,137
409,,118
410,,132
411,,134
412,,138
413,,118
414,,137
415,,121
416,,118
417,,143
418,,125
419,,144
420,,133
421,,147
422,,138
423,,157
424,,142
425,,121
426,,135
427,,149
428,,126
429,,119
430,,124
431,,129
432,,125
433,,140
434,,144
435,,126
436,,129
437,,143
438,,141
439,,122
440,,143
441,,136
442,,136
443,,111
444,,124
445,,129
446,,112
447,,126
448,,128
449,,136
450,,126
451,,131
452,,130
453,,136
454,,124
455,,148
456,,106
457,,136
458,,122
459,,128
460,,118
461,,117
462,,113
463,,116
464,,130
465,,137
466,,118
467,,152
468,,137
469,,125
470,,125
471,,124
472,,115
473,,143
474,,108
475,,109
476,,117
477,,111
478,,116
479,,118
480,,128
481,,129
482,,119
483,,108
484,,111
485,,105
486,,99
487,,105
488,,99
489,,128
490,,119
491,,115
492,,112
493,,113
494,,96
495,,110
496,,112
497,,111
498,,109
499,,101
500,,94
501,,101
502,,95
503,,119
504,,108
505,,98
506,,96
507,,118
508,,123
509,,115
510,,110
511,,117
512,,110
513,,99
514,,104
515,,116
516,,113
517,,98
518,,98
519,,114
520,,103
521,,106
522,,104
523,,98
524,,103
525,,110
526,,115
527,,92
528,,94
529,,100
530,,90
531,,103
532,,77
533,,94
534,,101
535,,109
536,,103
537,,98
538,,104
539,,95
540,,105
541,,104
542,,99
543,,122
544,,96
545,,82
546,,102
547,,85
548,,107
549,,88
550,,116
551,,100
552,,98
553,,94
554,,107
555,,98
556,,120
557,,91
558,,95
559,,98
560,,100
561,,70
562,,97
563,,87
564,,100
565,,83
566,,102
567,,81
568,,95
569,,85
570,,87
571,,75
572,,121
573,,80
574,,86
575,,84
576,,88
577,,95
578,,86
579,,84
580,,89
581,,85
582,,85
583,,91
584,,109
585,,81
586,,79
587,,88
588,,82
589,,102
590,,80
591,,76
592,,92
593,,82
594,,79
595,,64
596,,84
597,,76
598,,91
599,,85
600,,74
601,,67
602,,72
603,,86
604,,82
605,,86
606,,63
607,,74
608,,73
609,,88
610,,74
611,,65
612,,77
613,,85
614,,75
615,,84
616,,107
617,,83
618,,57
619,,64
620,,80
621,,81
622,,71
623,,86
624,,76
625,,73
626,,75
627,,82
628,,67
629,,81
630,,79
631,,101
632,,76
633,,87
634,,97
635,,94
636,,87
637,,78
638,,83
639,,96
640,,86
641,,98
642,,96
643,,90
644,,116
645,,98
646,,76
647,,90
648,,119
649,,108
650,,131
651,,121
652,,136
653,,118
654,,108
655,,129
656,,144
657,,126
658,,140
659,,134
660,,153
661,,148
662,,171
663,,147
664,,154
665,,173
666,,147
667,,176
668,,170
669,,179
670,,182
671,,176
672,,192
673,,190
674,,211
675,,228
676,,194
677,,193
678,,231
679,,219
680,,184
681,,212
682,,208
683,,219
684,,229
685,,237
686,,212
687,,253
688,,235
689,,197
690,,233
691,,188
692,,220
693,,211
694,,186
695,,220
696,,222
697,,197
698,,218
699,,200
700,,187
701,,191
702,,178
703,,189
704,,191
705,,173
706,,178
707,,172
708,,164
709,,179
710,,162
711,,137
712,,156
713,,135
714,,151
715,,149
716,,148
717,,144
718,,133
719,,149
720,,123
721,,121
722,,135
723,,131
724,,115
725,,116
726,,107
727,,96
728,,104
729,,99
730,,96
731,,89
732,,98
733,,95
734,,86
735,,78
736,,95
737,,84
738,,75
739,,94
740,,70
741,,67
742,,76
743,,67
744,,78
745,,68
746,,71
747,,60
748,,61
749,,48
750,,64
751,,62
752,,61
753,,55
754,,52
755,,58
756,,54
757,,63
758,,55
759,,57
760,,66
761,,58
762,,53
763,,58
764,,51
765,,51
766,,58
767,,50
768,,57
769,,57
770,,70
771,,57
772,,59
773,,48
774,,45
775,,57
776,,42
777,,53
778,,61
779,,49
780,,47
781,,45
782,,70
783,,43
784,,59
785,,39
786,,47
787,,53
788,,58
789,,45
790,,49
791,,40
792,,43
793,,54
794,,57
795,,46
796,,51
797,,42
798,,48
799,,42
800,,48
801,,39
802,,49
803,,46
804,,48
805,,52
806,,50
807,,47
808,,38
809,,35
810,,49
811,,44
812,,37
813,,41
814,,53
815,,37
816,,37
817,,42
818,,42
819,,46
820,,43
821,,38
822,,50
823,,47
824,,39
825,,35
826,,35
827,,30
828,,38
829,,33
830,,45
831,,26
832,,31
833,,29
834,,41
835,,42
836,,56
837,,27
838,,35
839,,36
840,,45
841,,42
842,,31
843,,29
844,,31
845,,37
846,,32
847,,35
848,,40
849,,27
850,,40
851,,41
852,,45
853,,39
854,,48
855,,47
856,,33
857,,32
858,,35
859,,34
860,,36
861,,44
862,,35
863,,33
864,,32
865,,42
866,,37
867,,30
868,,28
869,,36
870,,32
871,,42
872,,37
873,,41
874,,33
875,,29
876,,35
877,,39
878,,29
879,,33
880,,34
881,,28
882,,24
883,,31
884,,38
885,,37
886,,28
887,,32
888,,30
889,,33
890,,38
891,,42
892,,46
893,,38
894,,29
895,,30
896,,42
897,,33
898,,37
899,,34
900,,37
901,,34
902,,42
903,,41
904,,34
905,,34
906,,30
907,,41
908,,26
909,,41
910,,27
911,,37
912,,22
913,,35
914,,40
915,,33
916,,33
917,,39
918,,34
919,,30
920,,37
921,,29
922,,38
923,,35
924,,25
925,,42
926,,30
927,,31
928,,24
929,,41
930,,37
931,,30
932,,44
933,,26
934,,40
935,,31
936,,36
937,,33
938,,32
939,,36
940,,40
941,,36
942,,38
943,,43
944,,39
945,,27
946,,49
947,,38
948,,40
949,,47
950,,38
951,,35
952,,47
953,,29
954,,25
955,,35
956,,42
957,,42
958,,28
959,,39
