Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.50
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,327.94
Elapsed Live Time:,299.74
Start Time:,May 08, 2025, 05:05:32
End Time:,May 08, 2025, 05:11:00
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,4
1,,46
2,,45
3,,59
4,,57
5,,246
6,,5223
7,,9583
8,,12833
9,,16577
10,,21559
11,,26971
12,,32991
13,,36571
14,,37743
15,,37460
16,,36167
17,,34481
18,,32178
19,,30835
20,,29976
21,,29035
22,,28296
23,,27498
24,,26825
25,,26177
26,,25986
27,,25789
28,,25332
29,,24436
30,,23848
31,,22985
32,,22409
33,,21579
34,,21035
35,,20319
36,,20074
37,,19240
38,,18686
39,,18141
40,,17748
41,,17297
42,,17129
43,,17022
44,,16637
45,,16234
46,,15893
47,,15446
48,,15056
49,,14519
50,,14267
51,,14246
52,,13636
53,,13398
54,,13026
55,,12791
56,,12505
57,,11917
58,,11856
59,,11668
60,,11384
61,,11160
62,,10862
63,,10779
64,,10521
65,,10370
66,,10300
67,,9933
68,,9840
69,,9738
70,,9771
71,,9443
72,,9240
73,,9150
74,,9135
75,,8680
76,,8704
77,,8586
78,,8537
79,,8327
80,,8122
81,,7938
82,,7741
83,,7547
84,,7569
85,,7389
86,,7147
87,,7141
88,,6867
89,,6926
90,,6827
91,,6843
92,,6776
93,,6724
94,,6678
95,,6832
96,,6695
97,,6749
98,,6476
99,,6667
100,,6562
101,,6805
102,,6835
103,,6679
104,,6851
105,,6770
106,,7020
107,,6934
108,,7084
109,,6984
110,,6838
111,,6747
112,,6516
113,,6289
114,,6263
115,,5999
116,,5612
117,,5420
118,,5342
119,,5119
120,,4956
121,,4909
122,,4647
123,,4705
124,,4536
125,,4705
126,,4423
127,,4417
128,,4271
129,,4318
130,,4368
131,,4319
132,,4252
133,,4190
134,,4103
135,,4049
136,,4014
137,,3928
138,,3996
139,,3919
140,,3760
141,,3714
142,,3775
143,,3677
144,,3544
145,,3481
146,,3575
147,,3587
148,,3592
149,,3495
150,,3414
151,,3391
152,,3387
153,,3288
154,,3319
155,,3281
156,,3181
157,,3173
158,,3227
159,,3231
160,,3153
161,,3150
162,,3013
163,,3045
164,,3107
165,,3047
166,,2982
167,,2979
168,,3038
169,,2913
170,,2904
171,,2834
172,,2872
173,,2926
174,,2945
175,,2917
176,,2864
177,,2713
178,,2762
179,,2771
180,,2743
181,,2722
182,,2860
183,,2704
184,,2708
185,,2678
186,,2548
187,,2635
188,,2585
189,,2586
190,,2508
191,,2493
192,,2576
193,,2564
194,,2395
195,,2457
196,,2354
197,,2362
198,,2438
199,,2360
200,,2310
201,,2364
202,,2310
203,,2296
204,,2313
205,,2229
206,,2287
207,,2291
208,,2297
209,,2277
210,,2191
211,,2222
212,,2229
213,,2287
214,,2131
215,,2155
216,,2219
217,,2192
218,,2092
219,,2097
220,,2140
221,,2125
222,,2099
223,,2134
224,,2032
225,,2085
226,,2152
227,,2102
228,,2089
229,,2046
230,,2076
231,,2052
232,,1993
233,,2000
234,,2024
235,,1989
236,,2039
237,,1975
238,,2016
239,,1970
240,,1949
241,,1992
242,,1970
243,,2007
244,,1933
245,,1967
246,,1978
247,,1996
248,,1952
249,,1859
250,,1900
251,,1943
252,,1938
253,,1862
254,,1937
255,,1971
256,,1854
257,,1895
258,,1857
259,,1846
260,,1965
261,,1876
262,,1854
263,,1852
264,,1721
265,,1830
266,,1808
267,,1806
268,,1796
269,,1727
270,,1772
271,,1834
272,,1751
273,,1740
274,,1747
275,,1722
276,,1755
277,,1661
278,,1682
279,,1684
280,,1688
281,,1697
282,,1688
283,,1740
284,,1664
285,,1575
286,,1615
287,,1610
288,,1656
289,,1627
290,,1656
291,,1611
292,,1629
293,,1606
294,,1628
295,,1611
296,,1608
297,,1528
298,,1563
299,,1621
300,,1610
301,,1550
302,,1607
303,,1571
304,,1649
305,,1564
306,,1557
307,,1613
308,,1594
309,,1473
310,,1605
311,,1506
312,,1565
313,,1532
314,,1584
315,,1562
316,,1541
317,,1475
318,,1548
319,,1469
320,,1583
321,,1533
322,,1436
323,,1548
324,,1528
325,,1508
326,,1466
327,,1454
328,,1519
329,,1530
330,,1460
331,,1511
332,,1413
333,,1491
334,,1471
335,,1421
336,,1388
337,,1415
338,,1414
339,,1413
340,,1403
341,,1480
342,,1425
343,,1413
344,,1376
345,,1407
346,,1420
347,,1387
348,,1390
349,,1443
350,,1359
351,,1408
352,,1506
353,,1424
354,,1542
355,,1415
356,,1524
357,,1527
358,,1461
359,,1490
360,,1523
361,,1560
362,,1575
363,,1532
364,,1562
365,,1553
366,,1544
367,,1548
368,,1602
369,,1668
370,,1580
371,,1632
372,,1703
373,,1670
374,,1632
375,,1625
376,,1626
377,,1625
378,,1644
379,,1618
380,,1623
381,,1598
382,,1605
383,,1626
384,,1609
385,,1589
386,,1599
387,,1516
388,,1522
389,,1515
390,,1534
391,,1529
392,,1553
393,,1469
394,,1556
395,,1490
396,,1495
397,,1429
398,,1421
399,,1413
400,,1409
401,,1435
402,,1360
403,,1383
404,,1353
405,,1352
406,,1425
407,,1357
408,,1350
409,,1328
410,,1326
411,,1342
412,,1295
413,,1282
414,,1300
415,,1230
416,,1303
417,,1245
418,,1254
419,,1227
420,,1200
421,,1208
422,,1198
423,,1258
424,,1250
425,,1295
426,,1184
427,,1198
428,,1196
429,,1118
430,,1192
431,,1139
432,,1147
433,,1103
434,,1126
435,,1150
436,,1200
437,,1147
438,,1122
439,,1149
440,,1063
441,,1204
442,,1156
443,,1086
444,,1172
445,,1200
446,,1169
447,,1170
448,,1179
449,,1253
450,,1296
451,,1328
452,,1371
453,,1402
454,,1419
455,,1413
456,,1541
457,,1683
458,,1678
459,,1687
460,,1782
461,,1876
462,,1949
463,,2073
464,,2161
465,,2184
466,,2216
467,,2304
468,,2344
469,,2525
470,,2619
471,,2694
472,,2615
473,,2794
474,,2693
475,,2900
476,,2827
477,,2830
478,,2806
479,,2837
480,,2811
481,,2851
482,,2801
483,,2656
484,,2673
485,,2580
486,,2614
487,,2529
488,,2468
489,,2373
490,,2377
491,,2325
492,,2225
493,,2203
494,,2088
495,,1915
496,,1910
497,,1768
498,,1804
499,,1669
500,,1528
501,,1438
502,,1368
503,,1315
504,,1233
505,,1215
506,,1156
507,,1066
508,,971
509,,927
510,,873
511,,834
512,,846
513,,709
514,,705
515,,659
516,,657
517,,637
518,,571
519,,591
520,,553
521,,502
522,,498
523,,436
524,,478
525,,444
526,,477
527,,449
528,,415
529,,376
530,,431
531,,373
532,,391
533,,383
534,,376
535,,395
536,,366
537,,357
538,,379
539,,366
540,,360
541,,358
542,,329
543,,333
544,,308
545,,353
546,,341
547,,349
548,,332
549,,332
550,,355
551,,345
552,,289
553,,337
554,,305
555,,334
556,,310
557,,330
558,,323
559,,319
560,,318
561,,317
562,,336
563,,355
564,,294
565,,316
566,,315
567,,341
568,,293
569,,325
570,,306
571,,301
572,,286
573,,288
574,,301
575,,314
576,,299
577,,278
578,,321
579,,284
580,,316
581,,318
582,,289
583,,295
584,,305
585,,317
586,,300
587,,334
588,,281
589,,327
590,,285
591,,293
592,,259
593,,286
594,,301
595,,290
596,,313
597,,263
598,,294
599,,310
600,,279
601,,263
602,,283
