Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.50
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,124.88
Elapsed Live Time:,121.27
Start Time:,May 08, 2025, 03:40:48
End Time:,May 08, 2025, 03:42:53
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,3
2,,1
3,,0
4,,1
5,,4
6,,1043
7,,2172
8,,3022
9,,3815
10,,4691
11,,5886
12,,6916
13,,7664
14,,7630
15,,7297
16,,6934
17,,6304
18,,5831
19,,5401
20,,4993
21,,4940
22,,4656
23,,4601
24,,4477
25,,4402
26,,4150
27,,4091
28,,4090
29,,3873
30,,3589
31,,3548
32,,3382
33,,3295
34,,3110
35,,2973
36,,2909
37,,2636
38,,2826
39,,2625
40,,2528
41,,2525
42,,2388
43,,2279
44,,2283
45,,2148
46,,2193
47,,2075
48,,2052
49,,1955
50,,1880
51,,1809
52,,1668
53,,1669
54,,1644
55,,1525
56,,1486
57,,1452
58,,1393
59,,1307
60,,1316
61,,1269
62,,1230
63,,1189
64,,1170
65,,1081
66,,1156
67,,1044
68,,1093
69,,1094
70,,1034
71,,1032
72,,1089
73,,1008
74,,972
75,,971
76,,974
77,,929
78,,844
79,,850
80,,807
81,,799
82,,793
83,,748
84,,750
85,,735
86,,718
87,,703
88,,714
89,,645
90,,687
91,,705
92,,698
93,,687
94,,705
95,,712
96,,698
97,,689
98,,733
99,,726
100,,731
101,,764
102,,739
103,,744
104,,733
105,,790
106,,734
107,,769
108,,759
109,,695
110,,749
111,,648
112,,707
113,,604
114,,575
115,,636
116,,522
117,,531
118,,516
119,,511
120,,499
121,,471
122,,509
123,,456
124,,479
125,,496
126,,508
127,,497
128,,549
129,,461
130,,518
131,,491
132,,507
133,,519
134,,457
135,,483
136,,418
137,,432
138,,436
139,,428
140,,396
141,,415
142,,345
143,,379
144,,354
145,,357
146,,353
147,,320
148,,343
149,,336
150,,339
151,,372
152,,344
153,,302
154,,322
155,,336
156,,317
157,,348
158,,293
159,,288
160,,289
161,,312
162,,296
163,,290
164,,313
165,,308
166,,354
167,,319
168,,332
169,,278
170,,292
171,,319
172,,279
173,,301
174,,267
175,,286
176,,276
177,,264
178,,250
179,,264
180,,268
181,,256
182,,282
183,,254
184,,279
185,,247
186,,252
187,,284
188,,273
189,,256
190,,244
191,,242
192,,273
193,,253
194,,263
195,,236
196,,261
197,,244
198,,237
