Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.50
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,102.76
Elapsed Live Time:,93.1
Start Time:,May 01, 2025, 04:25:43
End Time:,May 01, 2025, 04:27:26
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,2
1,,14
2,,13
3,,19
4,,22
5,,109
6,,2090
7,,4023
8,,5310
9,,6958
10,,7912
11,,9023
12,,10158
13,,10749
14,,10422
15,,10100
16,,9725
17,,9061
18,,8495
19,,8218
20,,7947
21,,7568
22,,7601
23,,7373
24,,7233
25,,7014
26,,6810
27,,6904
28,,6740
29,,6597
30,,6375
31,,6189
32,,5916
33,,5906
34,,5555
35,,5669
36,,5374
37,,5426
38,,5285
39,,5209
40,,5190
41,,5261
42,,5084
43,,4984
44,,4795
45,,4716
46,,4661
47,,4478
48,,4190
49,,4384
50,,4195
51,,4045
52,,3965
53,,3797
54,,3855
55,,3684
56,,3632
57,,3661
58,,3543
59,,3469
60,,3426
61,,3420
62,,3397
63,,3394
64,,3371
65,,3384
66,,3425
67,,3499
68,,3393
69,,3447
70,,3381
71,,3324
72,,3516
73,,3284
74,,3456
75,,3423
76,,3397
77,,3358
78,,3336
79,,3226
80,,3338
81,,3302
82,,3257
83,,3226
84,,3217
85,,3081
86,,2992
87,,2932
88,,2927
89,,2844
90,,2822
91,,2648
92,,2715
93,,2498
94,,2553
95,,2557
96,,2457
97,,2555
98,,2435
99,,2476
100,,2488
101,,2538
102,,2666
103,,2690
104,,2692
105,,2807
106,,2728
107,,2794
108,,2777
109,,2759
110,,2647
111,,2561
112,,2461
113,,2297
114,,2285
115,,2081
116,,2001
117,,1947
118,,1860
119,,1833
120,,1715
121,,1799
122,,1715
123,,1670
124,,1612
125,,1673
126,,1667
127,,1593
128,,1639
129,,1602
130,,1633
131,,1579
132,,1525
133,,1544
134,,1650
135,,1606
136,,1599
137,,1549
138,,1520
139,,1489
140,,1513
141,,1531
142,,1541
143,,1518
144,,1494
145,,1419
146,,1390
147,,1484
148,,1386
149,,1339
150,,1377
151,,1267
152,,1317
153,,1255
154,,1318
155,,1294
156,,1253
157,,1164
158,,1248
159,,1203
160,,1251
161,,1108
162,,1201
163,,1178
164,,1173
165,,1158
166,,1076
167,,1081
168,,1126
169,,1122
170,,1098
171,,1045
172,,1053
173,,1064
174,,1050
175,,1017
176,,973
177,,1024
178,,998
179,,1035
180,,992
181,,990
182,,1005
183,,1032
184,,980
185,,948
186,,946
187,,968
188,,932
189,,937
190,,931
191,,879
192,,934
193,,862
194,,883
195,,848
196,,851
197,,860
198,,945
199,,839
200,,872
201,,803
202,,865
203,,826
204,,800
205,,772
206,,822
207,,785
208,,820
209,,829
210,,786
211,,740
212,,861
213,,769
214,,833
215,,789
216,,767
217,,792
218,,740
219,,834
220,,792
221,,747
222,,789
223,,735
224,,778
225,,717
226,,733
227,,788
228,,729
229,,776
230,,751
231,,696
232,,772
233,,734
234,,736
235,,754
236,,718
237,,652
238,,702
239,,712
240,,688
241,,708
242,,683
243,,685
244,,735
245,,714
246,,759
247,,672
248,,691
249,,669
250,,733
251,,704
252,,718
253,,660
254,,676
255,,607
256,,690
257,,718
258,,667
259,,649
260,,657
261,,654
262,,670
263,,644
264,,689
265,,665
266,,640
267,,584
268,,622
269,,692
270,,637
271,,651
272,,610
273,,640
274,,636
275,,607
276,,629
277,,599
278,,540
279,,591
280,,644
281,,576
282,,578
283,,642
284,,587
285,,614
286,,561
287,,606
288,,562
289,,606
290,,578
291,,592
292,,575
293,,589
294,,612
295,,534
296,,584
297,,577
298,,520
299,,551
300,,550
301,,556
302,,543
303,,581
304,,538
305,,577
306,,585
307,,563
308,,565
309,,526
310,,520
311,,518
312,,578
313,,510
314,,564
315,,554
316,,549
317,,507
318,,534
319,,562
320,,567
321,,509
322,,494
323,,526
324,,537
325,,546
326,,477
327,,520
328,,503
329,,482
330,,572
331,,464
332,,508
333,,490
334,,492
335,,525
336,,494
337,,534
338,,508
339,,484
340,,496
341,,490
342,,482
343,,488
344,,524
345,,460
346,,506
347,,533
348,,503
349,,480
350,,531
351,,500
352,,559
353,,489
354,,476
355,,518
356,,548
357,,540
358,,504
359,,529
360,,499
361,,568
362,,483
363,,489
364,,530
365,,552
366,,532
367,,510
368,,527
369,,525
370,,509
371,,517
372,,516
373,,543
374,,537
375,,535
376,,533
377,,522
378,,566
379,,582
380,,548
381,,538
382,,504
383,,525
384,,486
385,,511
386,,534
387,,495
388,,513
389,,481
390,,498
391,,497
392,,525
393,,521
394,,483
395,,498
396,,468
397,,451
398,,452
399,,454
400,,421
401,,486
402,,460
403,,450
404,,473
405,,449
406,,462
407,,450
408,,451
409,,431
410,,423
411,,493
412,,457
413,,413
414,,414
415,,401
416,,445
417,,416
418,,447
419,,434
420,,407
421,,403
422,,435
423,,415
