Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.50
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,117.9
Elapsed Live Time:,114.32
Start Time:,May 08, 2025, 02:44:30
End Time:,May 08, 2025, 02:46:28
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,5
2,,6
3,,0
4,,3
5,,5
6,,959
7,,2646
8,,3735
9,,4813
10,,5643
11,,6349
12,,7161
13,,7599
14,,7413
15,,7313
16,,6812
17,,6271
18,,5677
19,,5340
20,,4988
21,,4816
22,,4615
23,,4534
24,,4416
25,,4160
26,,4136
27,,4072
28,,3881
29,,3773
30,,3563
31,,3501
32,,3259
33,,3196
34,,2977
35,,2828
36,,2762
37,,2893
38,,2646
39,,2605
40,,2585
41,,2534
42,,2431
43,,2504
44,,2266
45,,2266
46,,2172
47,,2046
48,,1937
49,,1904
50,,1825
51,,1858
52,,1682
53,,1634
54,,1650
55,,1487
56,,1456
57,,1426
58,,1409
59,,1324
60,,1279
61,,1247
62,,1241
63,,1127
64,,1172
65,,1068
66,,1107
67,,1028
68,,1059
69,,1033
70,,1015
71,,1062
72,,1046
73,,1014
74,,918
75,,907
76,,925
77,,930
78,,867
79,,822
80,,831
81,,779
82,,860
83,,766
84,,782
85,,765
86,,772
87,,757
88,,764
89,,785
90,,741
91,,762
92,,766
93,,752
94,,816
95,,770
96,,800
97,,811
98,,801
99,,851
100,,792
101,,792
102,,806
103,,815
104,,800
105,,811
106,,801
107,,769
108,,736
109,,745
110,,722
111,,700
112,,684
113,,636
114,,650
115,,640
116,,540
117,,552
118,,524
119,,510
120,,549
121,,492
122,,523
123,,534
124,,544
125,,506
126,,471
127,,518
128,,527
129,,553
130,,540
131,,543
132,,476
133,,519
134,,523
135,,547
136,,462
137,,512
138,,483
139,,505
140,,447
141,,467
142,,448
143,,485
144,,424
145,,436
146,,400
147,,376
148,,377
149,,365
150,,355
151,,408
152,,336
153,,367
154,,321
155,,350
156,,323
157,,320
158,,333
159,,323
160,,329
161,,376
162,,354
163,,317
164,,321
165,,348
166,,310
167,,302
168,,295
169,,301
170,,308
171,,296
172,,312
173,,277
174,,267
175,,297
176,,285
177,,256
178,,298
179,,334
180,,268
181,,265
182,,282
183,,259
184,,279
185,,273
186,,263
187,,247
188,,253
189,,243
190,,306
191,,233
192,,225
193,,230
194,,249
195,,223
196,,236
197,,237
198,,221
199,,229
200,,234
201,,244
202,,230
203,,204
204,,223
205,,200
206,,227
207,,207
208,,216
209,,206
210,,237
211,,211
212,,184
213,,204
214,,206
215,,202
216,,222
217,,190
218,,185
219,,182
220,,206
221,,236
222,,225
223,,206
224,,202
225,,205
226,,217
227,,206
228,,222
229,,230
230,,200
231,,192
232,,200
233,,206
234,,208
235,,204
236,,196
237,,182
238,,184
239,,214
