Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.50
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,110.61
Elapsed Live Time:,107.3
Start Time:,May 01, 2025, 05:03:11
End Time:,May 01, 2025, 05:05:02
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,6
2,,2
3,,0
4,,1
5,,8
6,,1190
7,,2568
8,,3427
9,,4422
10,,5207
11,,5903
12,,6689
13,,6878
14,,6934
15,,6725
16,,6277
17,,5842
18,,5357
19,,4909
20,,4622
21,,4483
22,,4309
23,,4271
24,,4046
25,,4001
26,,3974
27,,3773
28,,3559
29,,3514
30,,3491
31,,3163
32,,3024
33,,2939
34,,2849
35,,2731
36,,2565
37,,2572
38,,2533
39,,2547
40,,2426
41,,2442
42,,2277
43,,2208
44,,2177
45,,2097
46,,1945
47,,1932
48,,1769
49,,1781
50,,1590
51,,1580
52,,1593
53,,1531
54,,1417
55,,1369
56,,1395
57,,1341
58,,1229
59,,1253
60,,1153
61,,1139
62,,1136
63,,1123
64,,1074
65,,1013
66,,1008
67,,987
68,,1021
69,,997
70,,938
71,,927
72,,900
73,,900
74,,890
75,,895
76,,849
77,,862
78,,809
79,,821
80,,749
81,,754
82,,708
83,,711
84,,645
85,,695
86,,684
87,,691
88,,660
89,,639
90,,731
91,,708
92,,749
93,,739
94,,733
95,,751
96,,736
97,,736
98,,743
99,,737
100,,766
101,,761
102,,763
103,,681
104,,763
105,,714
106,,737
107,,702
108,,681
109,,699
110,,677
111,,607
112,,627
113,,596
114,,598
115,,552
116,,555
117,,516
118,,523
119,,486
120,,457
121,,503
122,,482
123,,491
124,,488
125,,544
126,,488
127,,499
128,,497
129,,495
130,,462
131,,449
132,,495
133,,462
134,,466
135,,482
136,,419
137,,423
138,,414
139,,402
140,,375
141,,380
142,,418
143,,374
144,,326
145,,332
146,,350
147,,351
148,,328
149,,323
150,,300
151,,315
152,,332
153,,293
154,,271
155,,333
156,,298
157,,293
158,,316
159,,292
160,,303
161,,250
162,,292
163,,321
164,,265
165,,311
166,,293
167,,299
168,,273
169,,285
170,,285
171,,283
172,,242
173,,250
174,,247
175,,255
176,,261
177,,240
178,,244
179,,243
180,,245
181,,231
182,,257
183,,241
184,,247
185,,243
186,,256
187,,222
188,,243
189,,232
190,,221
191,,215
192,,209
193,,224
194,,222
195,,208
196,,209
197,,207
198,,185
199,,197
200,,194
201,,189
202,,185
203,,191
204,,191
205,,169
206,,171
207,,192
208,,166
209,,191
210,,192
211,,210
212,,187
213,,170
214,,177
215,,185
216,,186
217,,178
218,,182
219,,201
220,,198
221,,204
222,,162
223,,164
224,,198
225,,193
226,,181
227,,189
228,,172
229,,187
230,,189
231,,154
232,,165
233,,178
234,,188
235,,161
236,,193
237,,165
238,,160
239,,175
240,,169
241,,166
242,,165
243,,150
244,,159
245,,167
246,,167
247,,175
248,,165
249,,170
250,,170
251,,163
252,,142
253,,150
254,,165
255,,149
256,,165
257,,185
258,,154
259,,164
260,,174
261,,149
262,,133
263,,172
264,,150
265,,143
266,,140
267,,165
268,,156
269,,144
270,,132
271,,128
272,,147
273,,151
274,,117
275,,160
276,,121
277,,155
278,,132
279,,113
280,,139
281,,133
282,,126
283,,128
284,,139
285,,127
286,,147
287,,145
288,,133
289,,142
290,,125
291,,151
292,,141
293,,152
294,,122
295,,125
296,,158
297,,138
298,,117
299,,154
300,,136
301,,117
302,,129
303,,128
304,,127
305,,143
306,,126
307,,142
308,,133
309,,111
310,,134
311,,139
