Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.50
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,188.0
Elapsed Live Time:,183.06
Start Time:,May 08, 2025, 03:18:30
End Time:,May 08, 2025, 03:21:38
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,7
2,,4
3,,2
4,,7
5,,8
6,,1662
7,,3770
8,,4955
9,,6348
10,,7801
11,,9319
12,,10690
13,,11146
14,,11103
15,,10911
16,,10155
17,,9707
18,,8728
19,,8242
20,,7843
21,,7477
22,,7252
23,,6849
24,,6590
25,,6375
26,,6279
27,,6117
28,,6085
29,,5771
30,,5460
31,,5199
32,,5014
33,,4698
34,,4539
35,,4445
36,,4281
37,,4128
38,,3903
39,,3984
40,,3740
41,,3818
42,,3474
43,,3540
44,,3392
45,,3217
46,,3142
47,,3076
48,,2887
49,,2685
50,,2704
51,,2575
52,,2468
53,,2426
54,,2230
55,,2174
56,,2119
57,,2061
58,,2023
59,,1988
60,,1868
61,,1950
62,,1720
63,,1774
64,,1618
65,,1717
66,,1583
67,,1533
68,,1604
69,,1487
70,,1496
71,,1482
72,,1472
73,,1445
74,,1409
75,,1365
76,,1399
77,,1288
78,,1232
79,,1177
80,,1229
81,,1193
82,,1109
83,,1127
84,,1081
85,,978
86,,1026
87,,1006
88,,1010
89,,958
90,,952
91,,987
92,,970
93,,1027
94,,975
95,,1027
96,,1067
97,,992
98,,1025
99,,1046
100,,1088
101,,1074
102,,1062
103,,1015
104,,1025
105,,1054
106,,998
107,,1049
108,,986
109,,949
110,,988
111,,949
112,,862
113,,850
114,,807
115,,803
116,,767
117,,737
118,,729
119,,744
120,,640
121,,686
122,,687
123,,664
124,,701
125,,626
126,,661
127,,729
128,,695
129,,715
130,,669
131,,701
132,,634
133,,650
134,,634
135,,626
136,,598
137,,550
138,,584
139,,555
140,,556
141,,528
142,,523
143,,477
144,,502
145,,441
146,,500
147,,473
148,,466
149,,470
150,,434
151,,469
152,,451
153,,406
154,,413
155,,409
156,,398
157,,379
158,,439
159,,395
160,,374
161,,361
162,,398
163,,398
164,,412
165,,360
166,,400
167,,360
168,,384
169,,378
170,,391
171,,340
172,,323
173,,327
174,,359
175,,359
176,,318
177,,352
178,,324
179,,326
180,,348
181,,338
182,,326
183,,348
184,,346
185,,333
186,,350
187,,309
188,,311
189,,288
190,,301
191,,278
192,,295
193,,291
194,,286
195,,291
196,,294
197,,312
198,,275
199,,247
200,,268
201,,294
202,,259
203,,300
204,,273
205,,294
206,,254
207,,252
208,,242
209,,247
210,,271
211,,254
212,,253
213,,246
214,,272
215,,236
216,,245
217,,260
218,,255
219,,228
220,,246
221,,256
222,,254
223,,258
224,,229
225,,256
226,,243
227,,260
228,,239
229,,222
230,,251
231,,231
232,,279
233,,255
234,,282
235,,228
236,,230
237,,212
238,,253
239,,246
240,,240
241,,206
242,,209
243,,249
244,,248
245,,265
246,,235
247,,205
248,,216
249,,247
250,,208
251,,219
252,,229
253,,237
254,,209
255,,234
256,,202
257,,217
258,,200
259,,207
260,,194
261,,193
262,,183
263,,177
264,,214
265,,200
266,,225
267,,196
268,,191
269,,207
270,,180
271,,179
272,,190
273,,215
274,,204
275,,215
276,,193
277,,171
278,,180
279,,172
280,,187
281,,177
282,,176
283,,175
284,,169
285,,195
286,,171
287,,152
288,,194
289,,169
290,,157
291,,162
292,,182
293,,152
294,,171
295,,153
296,,191
297,,169
298,,164
299,,153
300,,178
301,,166
302,,168
303,,172
304,,175
305,,158
306,,179
307,,146
308,,177
309,,164
310,,174
311,,157
312,,164
313,,150
314,,173
315,,165
316,,172
317,,161
318,,154
319,,167
320,,150
321,,151
322,,170
323,,148
324,,161
325,,132
326,,137
327,,133
328,,139
329,,129
330,,126
331,,122
332,,142
333,,98
334,,131
335,,129
336,,104
337,,134
338,,107
339,,108
340,,107
341,,103
342,,131
343,,110
344,,108
345,,101
346,,106
347,,107
348,,110
349,,105
350,,100
351,,106
352,,94
353,,101
354,,101
355,,106
356,,103
357,,107
358,,117
359,,106
360,,110
361,,108
362,,127
363,,112
364,,100
365,,110
366,,115
367,,96
368,,101
369,,100
370,,133
371,,99
372,,112
373,,113
374,,112
375,,101
376,,117
377,,124
378,,92
379,,105
380,,112
381,,127
382,,105
383,,92
384,,107
385,,120
386,,105
387,,93
388,,82
389,,118
390,,97
391,,104
392,,93
393,,91
394,,95
395,,85
396,,75
397,,83
398,,79
399,,87
400,,83
401,,81
402,,78
403,,67
404,,94
405,,94
406,,79
407,,79
408,,80
409,,80
410,,89
411,,67
412,,62
413,,70
414,,70
415,,52
416,,63
417,,59
418,,63
419,,76
420,,74
421,,87
422,,66
423,,82
424,,56
425,,75
426,,66
427,,65
428,,64
429,,55
430,,63
431,,55
432,,66
433,,64
434,,54
435,,60
436,,60
437,,61
438,,63
439,,68
440,,77
441,,65
442,,63
443,,61
444,,64
445,,61
446,,54
447,,52
448,,66
449,,69
450,,64
451,,66
452,,62
453,,48
454,,60
455,,61
456,,57
457,,58
458,,45
459,,60
460,,72
461,,59
462,,64
463,,67
464,,49
465,,52
466,,49
467,,52
468,,70
469,,63
470,,72
471,,63
472,,79
473,,75
474,,63
475,,72
476,,65
