Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.50
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,123.76
Elapsed Live Time:,120.37
Start Time:,May 08, 2025, 02:48:30
End Time:,May 08, 2025, 02:50:34
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,6
2,,3
3,,1
4,,2
5,,9
6,,951
7,,2359
8,,3104
9,,4051
10,,4993
11,,6115
12,,7221
13,,7768
14,,7665
15,,7431
16,,6983
17,,6437
18,,5739
19,,5420
20,,5151
21,,4946
22,,4669
23,,4716
24,,4397
25,,4255
26,,4322
27,,4150
28,,4018
29,,3991
30,,3812
31,,3691
32,,3467
33,,3253
34,,3113
35,,3010
36,,2860
37,,2813
38,,2729
39,,2629
40,,2554
41,,2490
42,,2358
43,,2330
44,,2342
45,,2198
46,,2174
47,,2142
48,,2019
49,,2010
50,,1838
51,,1786
52,,1766
53,,1666
54,,1653
55,,1564
56,,1449
57,,1389
58,,1347
59,,1301
60,,1251
61,,1178
62,,1189
63,,1182
64,,1151
65,,1091
66,,1135
67,,1129
68,,1045
69,,1087
70,,960
71,,1004
72,,1072
73,,998
74,,949
75,,950
76,,908
77,,915
78,,872
79,,892
80,,830
81,,828
82,,736
83,,728
84,,736
85,,691
86,,695
87,,677
88,,609
89,,678
90,,653
91,,668
92,,663
93,,683
94,,738
95,,697
96,,704
97,,707
98,,716
99,,741
100,,684
101,,761
102,,759
103,,708
104,,723
105,,687
106,,738
107,,680
108,,698
109,,688
110,,665
111,,648
112,,658
113,,579
114,,558
115,,561
116,,543
117,,489
118,,509
119,,504
120,,450
121,,504
122,,479
123,,495
124,,475
125,,507
126,,460
127,,492
128,,471
129,,495
130,,470
131,,490
132,,444
133,,450
134,,453
135,,429
136,,427
137,,429
138,,375
139,,386
140,,390
141,,386
142,,385
143,,330
144,,359
145,,332
146,,320
147,,332
148,,316
149,,312
150,,311
151,,285
152,,277
153,,299
154,,314
155,,293
156,,274
157,,301
158,,279
159,,292
160,,283
161,,267
162,,327
163,,285
164,,312
165,,281
166,,277
167,,286
168,,262
169,,282
170,,256
171,,260
172,,243
173,,243
174,,262
175,,246
176,,260
177,,264
178,,234
179,,244
180,,244
181,,235
182,,236
183,,210
184,,242
185,,225
186,,225
187,,234
188,,236
189,,207
190,,220
191,,217
192,,213
193,,225
194,,206
195,,204
196,,208
197,,209
198,,200
199,,217
200,,212
201,,190
202,,200
203,,187
204,,206
205,,174
206,,186
207,,175
208,,173
209,,191
210,,192
211,,211
212,,192
213,,154
214,,179
215,,180
216,,177
217,,157
218,,177
219,,180
220,,172
221,,172
222,,170
223,,197
224,,175
225,,182
226,,179
227,,175
228,,189
229,,196
230,,183
231,,179
232,,181
233,,159
234,,165
235,,177
236,,195
237,,178
238,,159
239,,171
240,,173
241,,173
242,,178
243,,161
244,,157
245,,182
246,,159
247,,171
248,,163
249,,163
250,,163
251,,150
252,,171
253,,171
254,,167
255,,145
256,,147
257,,132
258,,143
259,,125
260,,181
261,,163
262,,135
263,,134
264,,143
265,,140
266,,153
267,,122
268,,158
269,,131
270,,128
271,,141
272,,131
273,,139
274,,153
275,,141
276,,150
277,,138
278,,123
279,,122
280,,144
281,,108
282,,110
283,,115
284,,121
285,,120
286,,110
287,,141
288,,113
289,,138
290,,136
291,,152
292,,120
293,,133
294,,123
295,,143
296,,132
297,,114
298,,134
299,,120
300,,115
301,,132
302,,147
303,,128
304,,147
305,,136
306,,135
307,,132
308,,130
309,,120
310,,116
