Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.50
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,104.32
Elapsed Live Time:,99.24
Start Time:,May 01, 2025, 04:31:28
End Time:,May 01, 2025, 04:33:13
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,1
1,,5
2,,9
3,,1
4,,3
5,,26
6,,1219
7,,2391
8,,3167
9,,3952
10,,5141
11,,6388
12,,7463
13,,8052
14,,8035
15,,7736
16,,7194
17,,6607
18,,6162
19,,5741
20,,5596
21,,5390
22,,5171
23,,4952
24,,4983
25,,4639
26,,4866
27,,4459
28,,4388
29,,4225
30,,4210
31,,3961
32,,3712
33,,3579
34,,3619
35,,3512
36,,3340
37,,3241
38,,3172
39,,3164
40,,3107
41,,2962
42,,2851
43,,2915
44,,2725
45,,2761
46,,2688
47,,2572
48,,2541
49,,2471
50,,2329
51,,2233
52,,2250
53,,2149
54,,2037
55,,2062
56,,1976
57,,1912
58,,1925
59,,1842
60,,1838
61,,1811
62,,1728
63,,1721
64,,1639
65,,1572
66,,1605
67,,1554
68,,1570
69,,1544
70,,1499
71,,1531
72,,1424
73,,1499
74,,1420
75,,1406
76,,1364
77,,1308
78,,1301
79,,1244
80,,1224
81,,1233
82,,1221
83,,1215
84,,1176
85,,1146
86,,1143
87,,1169
88,,1107
89,,1039
90,,1120
91,,1065
92,,1019
93,,1116
94,,1089
95,,1100
96,,1109
97,,1074
98,,1091
99,,1121
100,,1126
101,,1107
102,,1170
103,,1216
104,,1170
105,,1201
106,,1147
107,,1175
108,,1194
109,,1187
110,,1119
111,,1090
112,,1019
113,,1019
114,,959
115,,883
116,,888
117,,855
118,,859
119,,824
120,,843
121,,806
122,,801
123,,730
124,,812
125,,786
126,,805
127,,800
128,,794
129,,779
130,,747
131,,800
132,,769
133,,735
134,,770
135,,671
136,,660
137,,700
138,,620
139,,645
140,,667
141,,611
142,,600
143,,584
144,,626
145,,618
146,,592
147,,607
148,,615
149,,615
150,,528
151,,579
152,,584
153,,573
154,,558
155,,545
156,,538
157,,595
158,,616
159,,531
160,,544
161,,516
162,,511
163,,509
164,,542
165,,547
166,,522
167,,568
168,,514
169,,521
170,,491
171,,519
172,,521
173,,507
174,,512
175,,500
176,,476
177,,498
178,,459
179,,480
180,,472
181,,483
182,,497
183,,462
184,,474
185,,492
186,,467
187,,418
188,,454
189,,479
190,,472
191,,429
192,,449
193,,477
194,,422
195,,436
196,,451
197,,454
198,,413
199,,395
200,,400
201,,473
202,,424
203,,373
204,,400
205,,418
206,,397
207,,397
208,,418
209,,388
210,,363
211,,408
212,,443
213,,413
