Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1000
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.50
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,116.99
Elapsed Live Time:,102.3
Start Time:,May 01, 2025, 04:18:50
End Time:,May 01, 2025, 04:20:47
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,3
1,,53
2,,58
3,,56
4,,61
5,,247
6,,3186
7,,6195
8,,8493
9,,10696
10,,12173
11,,13084
12,,14288
13,,14736
14,,14778
15,,14482
16,,13976
17,,13390
18,,12480
19,,11791
20,,11663
21,,11391
22,,11107
23,,11065
24,,10920
25,,10457
26,,10595
27,,10317
28,,10181
29,,9801
30,,9461
31,,9241
32,,8984
33,,8715
34,,8512
35,,8239
36,,8253
37,,7924
38,,8105
39,,8118
40,,7879
41,,7925
42,,7828
43,,7544
44,,7682
45,,7245
46,,6928
47,,6816
48,,6533
49,,6513
50,,6362
51,,6150
52,,6068
53,,6160
54,,5931
55,,5740
56,,5717
57,,5639
58,,5475
59,,5556
60,,5597
61,,5467
62,,5507
63,,5367
64,,5322
65,,5548
66,,5628
67,,5720
68,,5572
69,,5750
70,,5808
71,,5538
72,,5717
73,,5696
74,,5932
75,,5766
76,,5637
77,,5753
78,,5759
79,,5858
80,,5895
81,,5796
82,,5715
83,,5792
84,,5546
85,,5446
86,,5365
87,,5121
88,,4959
89,,4978
90,,4724
91,,4677
92,,4583
93,,4459
94,,4235
95,,4135
96,,4103
97,,4098
98,,3981
99,,3902
100,,4029
101,,4044
102,,4135
103,,4085
104,,4201
105,,4408
106,,4547
107,,4449
108,,4475
109,,4401
110,,4295
111,,4054
112,,4041
113,,3944
114,,3629
115,,3386
116,,3311
117,,3152
118,,3070
119,,2833
120,,2650
121,,2554
122,,2623
123,,2593
124,,2525
125,,2592
126,,2483
127,,2523
128,,2578
129,,2503
130,,2450
131,,2483
132,,2479
133,,2585
134,,2502
135,,2511
136,,2403
137,,2450
138,,2421
139,,2453
140,,2445
141,,2395
142,,2361
143,,2399
144,,2256
145,,2302
146,,2250
147,,2217
148,,2178
149,,2166
150,,2178
151,,2094
152,,2015
153,,2110
154,,2003
155,,2007
156,,1991
157,,1919
158,,1983
159,,1883
160,,1859
161,,1825
162,,1784
163,,1822
164,,1736
165,,1790
166,,1692
167,,1715
168,,1660
169,,1679
170,,1590
171,,1582
172,,1632
173,,1565
174,,1608
175,,1550
176,,1564
177,,1531
178,,1541
179,,1509
180,,1526
181,,1493
182,,1437
183,,1495
184,,1468
185,,1421
186,,1420
187,,1440
188,,1374
189,,1332
190,,1301
191,,1331
192,,1316
193,,1360
194,,1282
195,,1320
196,,1264
197,,1371
198,,1289
199,,1361
200,,1297
201,,1301
202,,1235
203,,1246
204,,1258
205,,1263
206,,1261
207,,1250
208,,1196
209,,1146
210,,1210
211,,1182
212,,1104
213,,1152
214,,1157
215,,1159
216,,1198
217,,1146
218,,1107
219,,1159
220,,1178
221,,1140
222,,1170
223,,1138
224,,1086
225,,1055
226,,1022
227,,1120
228,,1137
229,,1062
230,,1121
231,,1064
232,,1051
233,,1080
234,,1034
235,,1082
236,,1039
237,,1056
238,,1046
239,,1016
240,,994
241,,1062
242,,1048
243,,955
244,,1011
245,,990
246,,1074
247,,1017
248,,1016
249,,1010
250,,1079
251,,1011
252,,1032
253,,990
254,,1041
255,,982
256,,1021
257,,983
258,,1003
259,,1002
260,,978
261,,966
262,,994
263,,1066
264,,1014
265,,926
266,,985
267,,966
268,,897
269,,941
270,,987
271,,983
272,,920
273,,915
274,,929
275,,913
276,,842
277,,887
278,,872
279,,885
280,,886
281,,883
282,,894
283,,896
284,,871
285,,876
286,,869
287,,862
288,,832
289,,838
290,,868
291,,813
292,,834
293,,809
294,,843
295,,818
296,,860
297,,821
298,,816
299,,803
300,,845
301,,865
302,,797
303,,795
304,,775
305,,784
306,,872
307,,813
308,,825
309,,816
310,,795
311,,771
312,,787
313,,797
314,,747
315,,751
316,,830
317,,781
318,,772
319,,750
320,,743
321,,755
322,,730
323,,761
324,,768
325,,693
326,,757
327,,745
328,,751
329,,743
330,,773
331,,742
332,,790
333,,736
334,,750
335,,698
336,,711
337,,733
338,,722
339,,754
340,,669
341,,710
342,,751
343,,720
344,,746
345,,739
346,,771
347,,695
348,,736
349,,719
350,,750
351,,744
352,,728
353,,751
354,,727
355,,729
356,,720
357,,717
358,,758
359,,784
360,,743
361,,762
362,,793
363,,793
364,,772
365,,776
366,,796
367,,785
368,,769
369,,769
370,,817
371,,751
372,,803
373,,809
374,,751
375,,828
376,,799
377,,734
378,,753
379,,782
380,,759
381,,783
382,,822
383,,735
384,,790
385,,727
386,,768
387,,779
388,,685
389,,730
390,,723
391,,728
392,,679
393,,693
394,,690
395,,707
396,,742
397,,693
398,,637
399,,642
400,,622
401,,642
402,,641
403,,658
404,,655
405,,650
406,,687
407,,629
408,,654
409,,677
410,,614
411,,647
412,,657
413,,640
414,,607
415,,639
416,,630
417,,590
418,,645
419,,641
420,,649
421,,596
